Format Version,1.23,Take Name,Take 2023-03-29 06.23.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-29 06.23.40.520 下午,Capture Start Frame,87471,Total Frames in Take,906,Total Exported Frames,906,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.035582,0.491175,0.814543,0.306596,-79.938354,823.339050,212.311111,-91.931503,883.061462,252.551712,-118.914085,761.713745,232.223602,-60.237450,767.468750,163.047043,-48.670391,881.112305,201.422394,0.622085,0.540548,-0.501210,0.263831,400.087433,818.007812,197.614410,425.991547,863.515442,249.137665,438.008728,796.351196,248.748016,357.397369,850.959167,142.992813,378.952026,761.205444,149.579041,0.001098,-0.016804,0.001415,0.999857,173.741348,1087.335693,-162.823044,357.765533,1083.429077,-401.693146,-3.350690,1083.610107,-408.649200,-8.888885,1091.279907,76.249077,349.439514,1091.023560,82.801041,358.122620,1083.247559,-402.691010,-2.712295,1083.809937,-410.161560,-9.072226,1091.185791,77.821205,349.135590,1091.111450,82.757523,-92.014595,883.068848,253.095154,-118.791588,761.807434,231.812973,-60.428699,767.016357,163.753677,-48.595249,881.307190,200.715958,426.367065,864.002930,249.277313,438.017120,794.773926,249.338638,354.800232,849.325623,140.200043,379.277283,762.144897,149.850662
7,0.058000,0.035822,0.491170,0.814599,0.306427,-79.960938,823.353699,212.320190,-91.936340,883.066284,252.580643,-118.921204,761.721069,232.240387,-60.283020,767.495789,163.032883,-48.703197,881.131714,201.427139,0.622388,0.540417,-0.501291,0.263229,400.273621,818.173279,197.728104,426.248932,863.615723,249.272980,438.189636,796.438232,248.832336,357.600372,851.210938,143.145477,379.055450,761.428162,149.661499,0.001107,-0.016700,0.001425,0.999859,173.693176,1087.332153,-162.707901,357.667755,1083.433105,-401.616211,-3.449827,1083.607300,-408.497223,-8.887440,1091.268677,76.402191,349.442230,1091.019043,82.879723,358.121307,1083.255005,-402.697266,-2.692958,1083.802979,-410.160889,-9.087732,1091.199707,77.826019,349.140961,1091.093018,82.773521,-92.006004,883.072449,253.101883,-118.801231,761.806213,231.820831,-60.467525,767.068176,163.713074,-48.631691,881.355774,200.689774,426.585907,864.005188,249.447433,438.047729,794.747009,249.328430,354.836456,849.337097,140.199219,379.303162,762.096558,149.852600
8,0.066000,0.036226,0.490957,0.814793,0.306206,-79.992805,823.390259,212.314896,-91.942833,883.069763,252.631836,-118.934357,761.739075,232.214203,-60.347130,767.573181,162.968521,-48.746941,881.179016,201.445251,0.622850,0.540282,-0.501273,0.262448,400.429993,818.187744,197.844757,426.485596,863.536133,249.431992,438.329315,796.341980,248.914124,357.788727,851.346863,143.310806,379.116241,761.526184,149.722015,0.001101,-0.016728,0.001430,0.999858,173.715103,1087.327393,-162.742935,357.703217,1083.427490,-401.640839,-3.413975,1083.598022,-408.542267,-8.879066,1091.265015,76.356750,349.450226,1091.018799,82.854538,358.126221,1083.249390,-402.703217,-2.700500,1083.792725,-410.155243,-9.075518,1091.189819,77.825043,349.148590,1091.096436,82.771805,-92.008102,883.075195,253.127930,-118.828880,761.833862,231.830032,-60.508209,767.104126,163.655212,-48.690659,881.391418,200.697983,426.847595,863.928894,249.675186,438.100952,794.704285,249.322372,354.868713,849.309204,140.169754,379.310516,762.041565,149.846558
9,0.075000,0.036637,0.490856,0.814879,0.306089,-80.039764,823.436829,212.341156,-91.950920,883.097839,252.697144,-118.977379,761.781982,232.236893,-60.438766,767.641663,162.952240,-48.792004,881.226013,201.478638,0.622943,0.540622,-0.500908,0.262222,400.507538,818.147766,197.920959,426.543579,863.448608,249.559784,438.406769,796.258423,248.971786,357.863556,851.352661,143.417023,379.216156,761.531372,149.735168,0.001080,-0.016751,0.001434,0.999858,173.717255,1087.336182,-162.762695,357.716278,1083.427246,-401.652069,-3.400639,1083.594971,-408.569977,-8.887842,1091.282837,76.328560,349.441223,1091.039429,82.842651,358.120453,1083.245728,-402.693420,-2.708333,1083.795044,-410.163208,-9.080273,1091.201904,77.815353,349.140411,1091.120850,82.770187,-92.031364,883.106140,253.182709,-118.879303,761.898743,231.888199,-60.564121,767.126343,163.607727,-48.728710,881.404175,200.685654,426.907990,863.822449,249.813553,438.151093,794.676575,249.333023,354.870117,849.242004,140.162430,379.408966,762.037903,149.864014
10,0.083000,0.036990,0.490951,0.814911,0.305808,-80.060471,823.462402,212.347214,-91.943245,883.117126,252.720749,-118.971527,761.799988,232.271225,-60.496582,767.675598,162.934219,-48.830528,881.257141,201.462921,0.622949,0.540770,-0.500754,0.262198,400.550964,818.106201,197.941406,426.571564,863.395142,249.598419,438.450500,796.207947,248.988159,357.904327,851.320007,143.445007,379.277313,761.501526,149.733932,0.001080,-0.016765,0.001431,0.999858,173.724365,1087.332397,-162.793228,357.730133,1083.422363,-401.677368,-3.386572,1083.592163,-408.605530,-8.887470,1091.280151,76.292839,349.441406,1091.034668,82.817093,358.126648,1083.239990,-402.701080,-2.713949,1083.793457,-410.168884,-9.081277,1091.194946,77.808182,349.139526,1091.118408,82.747215,-92.031418,883.131592,253.209885,-118.869247,761.913818,231.924789,-60.635426,767.141541,163.586044,-48.754929,881.433777,200.698105,426.931946,863.753845,249.849319,438.201508,794.650452,249.352829,354.910583,849.235291,140.168045,379.469452,762.007141,149.866501
11,0.091000,0.037538,0.490937,0.815023,0.305468,-80.106369,823.487976,212.349380,-91.945175,883.121826,252.766632,-118.988129,761.812439,232.290192,-60.597740,767.727112,162.885269,-48.894451,881.290588,201.455719,0.622758,0.540915,-0.500836,0.262197,400.580475,818.051575,197.926514,426.604614,863.351624,249.571991,438.506378,796.168579,248.960205,357.902283,851.248474,143.444458,379.308472,761.437622,149.729309,0.001094,-0.016737,0.001429,0.999858,173.706833,1087.323486,-162.748978,357.699280,1083.419556,-401.643463,-3.417805,1083.590942,-408.551453,-8.891672,1091.264893,76.347366,349.437531,1091.017944,82.851662,358.126221,1083.233154,-402.701721,-2.699533,1083.797729,-410.167114,-9.088864,1091.185425,77.805748,349.136261,1091.099243,82.762970,-92.027733,883.136353,253.255493,-118.893539,761.925842,231.947876,-60.719349,767.178467,163.527145,-48.828037,881.478149,200.688675,426.961182,863.738403,249.835327,438.286377,794.527466,249.314026,354.940002,849.166565,140.145004,379.494690,761.942505,149.863846
12,0.100000,0.038026,0.490918,0.815120,0.305177,-80.144989,823.512878,212.375580,-91.944016,883.128052,252.831970,-119.002281,761.826416,232.330154,-60.685947,767.775085,162.865921,-48.947723,881.322021,201.474548,0.622546,0.540892,-0.500936,0.262556,400.639648,818.016357,197.886078,426.637512,863.365295,249.501953,438.573425,796.187805,248.937286,357.948090,851.153992,143.378403,379.399475,761.358337,149.726562,0.001106,-0.016765,0.001420,0.999858,173.723740,1087.324585,-162.773346,357.729370,1083.423340,-401.657745,-3.387332,1083.601196,-408.585785,-8.887961,1091.263428,76.313004,349.440918,1091.010132,82.837151,358.128326,1083.244385,-402.702759,-2.694371,1083.797485,-410.167908,-9.079121,1091.183105,77.807480,349.137909,1091.090698,82.768341,-92.038536,883.149109,253.336929,-118.900398,761.942017,231.983612,-60.821613,767.205627,163.516312,-48.865940,881.502014,200.701691,426.989563,863.742126,249.752014,438.337952,794.490601,249.315796,355.021942,849.154907,140.155106,379.591766,761.861206,149.864578
13,0.108000,0.038634,0.490897,0.815231,0.304839,-80.205521,823.554871,212.410553,-91.953072,883.147949,252.914429,-119.035652,761.856873,232.382324,-60.809822,767.844177,162.845535,-49.023560,881.370544,201.500183,0.622499,0.540663,-0.501163,0.262705,400.665527,817.979492,197.851868,426.675171,863.358521,249.435364,438.597321,796.178223,248.916153,357.978119,851.088501,143.323578,379.411407,761.292847,149.732254,0.001081,-0.016832,0.001396,0.999857,173.748550,1087.333740,-162.831818,357.785950,1083.411987,-401.691376,-3.329754,1083.606689,-408.667755,-8.894950,1091.293213,76.229828,349.433014,1091.023071,82.801979,358.131897,1083.235962,-402.701172,-2.697788,1083.797485,-410.173187,-9.072868,1091.201660,77.814690,349.129486,1091.108154,82.774605,-92.036140,883.157715,253.398331,-118.945076,761.980408,232.047028,-60.912361,767.279541,163.469818,-48.957954,881.564392,200.689087,427.025665,863.756165,249.688858,438.385834,794.430542,249.307861,355.103149,849.125244,140.147415,379.599548,761.792908,149.865875
14,0.116000,0.039272,0.490898,0.815315,0.304531,-80.267914,823.604309,212.450363,-91.956963,883.178223,252.999329,-119.075760,761.899231,232.443634,-60.942554,767.916687,162.831970,-49.096397,881.423035,201.526825,0.622413,0.540694,-0.501161,0.262849,400.725037,817.977539,197.867218,426.719147,863.373596,249.443497,438.660034,796.196594,248.937775,358.031433,851.064270,143.330231,379.489380,761.275757,149.757233,0.001075,-0.016692,0.001441,0.999859,173.687134,1087.330322,-162.708740,357.657898,1083.421875,-401.619873,-3.459841,1083.584229,-408.494995,-8.889705,1091.276367,76.404121,349.440155,1091.038452,82.875786,358.132050,1083.233643,-402.702759,-2.692912,1083.793091,-410.178986,-9.091621,1091.205688,77.791641,349.144989,1091.114380,82.757988,-92.049660,883.195068,253.486633,-118.982307,762.024597,232.112976,-61.048218,767.319763,163.436142,-49.013496,881.621826,200.703674,427.055115,863.749207,249.677948,438.423035,794.382385,249.317505,355.164764,849.072876,140.161987,379.684296,761.787109,149.907562
15,0.125000,0.039980,0.490816,0.815462,0.304175,-80.338425,823.684692,212.480682,-91.967064,883.229065,253.090378,-119.119400,761.966125,232.484375,-61.086445,768.033081,162.793411,-49.180817,881.510559,201.554825,0.622525,0.540516,-0.501152,0.262966,400.786987,817.928528,197.863510,426.773407,863.332031,249.437149,438.699615,796.152222,248.952682,358.119507,851.010742,143.303391,379.555389,761.219177,149.760696,0.001070,-0.016777,0.001448,0.999858,173.740005,1087.332764,-162.816406,357.751373,1083.424194,-401.696228,-3.365144,1083.581787,-408.632629,-8.877457,1091.278809,76.265381,349.451233,1091.045654,82.797882,358.125366,1083.239014,-402.705048,-2.693170,1083.787964,-410.169464,-9.066640,1091.185913,77.832809,349.139435,1091.134155,82.733559,-92.053505,883.250549,253.594543,-119.034317,762.081177,232.147873,-61.178604,767.454041,163.391281,-49.105282,881.722839,200.722702,427.106720,863.699829,249.665619,438.465820,794.352356,249.341537,355.258179,849.064209,140.149872,379.753937,761.732422,149.914230
