taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38625,42123,41222,34830,54075,53042,156800
38602,42091,41225,34835,54010,53079,156753
38631,42139,41235,34825,54008,53139,156830
38586,42196,41218,34884,54062,53109,156884
38546,42178,41192,34883,54078,53093,156799
38596,42167,41197,34910,54055,53148,156870
38638,42134,41210,34897,54058,53133,156879
38592,42209,41267,34968,54123,53194,157036
38628,42213,41198,34914,54067,53165,156953
38621,42278,41263,34996,54140,53262,157158
38552,42219,41207,35036,54117,53224,157014
38530,42204,41242,35053,54149,53217,157029
38504,42180,41196,35130,54067,53266,157010
38605,42205,41207,35141,54103,53335,157158
38633,42137,41171,35141,54050,53320,157082
38717,42139,41130,35096,54101,53257,157082
38749,42087,41148,34965,54039,53207,156949
38800,42112,41233,34900,54093,53163,157045
38757,42075,41163,34854,54052,53101,156849
38758,42086,41251,34840,54074,53117,156935
38751,42076,41209,34830,54034,53095,156866
38641,42143,41247,34849,54109,53088,156880
38649,42066,41239,34816,54038,53054,156770
38671,42157,41320,34831,54141,53095,156979
38639,42127,41337,34858,54114,53094,156961
38617,42185,41291,34832,54107,53089,156925
38579,42245,41284,34860,54136,53128,156968
38552,42217,41274,34865,54109,53098,156908
38610,42153,41229,34879,54051,53112,156871
38561,42255,41260,34879,54120,53136,156955
38563,42149,41203,34900,53993,53118,156815
38560,42239,41217,34894,54063,53157,156910
38547,42237,41311,34982,54151,53236,157077
38557,42235,41241,34990,54111,53213,157023
38485,42244,41209,35059,54089,53235,156997
38549,42215,41133,35087,54094,53239,156984
38480,42198,41211,35075,54046,53242,156964
38598,42148,41169,35108,54052,53264,157023
38651,42213,41176,35097,54055,53353,157137
38718,42172,41203,35063,54125,53313,157156
38772,42098,41201,34999,54094,53241,157070
38777,42196,41192,34941,54137,53215,157106
38793,42162,41198,34881,54071,53168,157034
38697,42110,41223,34872,54075,53122,156902
38735,42142,41235,34881,54095,53136,156993
38641,42217,41228,34923,54168,53152,157009
38631,42168,41270,34893,54098,53131,156962
38626,42175,41246,34933,54094,53154,156980
38601,42182,41189,34888,54076,53098,156860
38667,42176,41245,34942,54101,53182,157030
38541,42140,41227,34869,54025,53090,156777
38647,42181,41236,34940,54129,53125,157004
38598,42177,41218,34867,54039,53132,156860
38578,42218,41216,34904,54128,53139,156916
38599,42125,41190,34930,54015,53169,156844
38572,42153,41258,34982,54042,53180,156965
38512,42209,41169,35010,54074,53207,156900
38470,42197,41202,34985,54058,53186,156854
38511,42178,41110,34990,54012,53175,156789
38482,42240,41193,35060,54072,53221,156975
38525,42159,41177,35008,54014,53204,156869
38647,42072,41144,35058,53999,53272,156921
