taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13399,14409,13725,15099,13457,16266,9903,53429,52538,11516,58739,45828
13376,14396,13704,15142,13459,16202,9880,53426,52426,11521,58666,45800
13390,14424,13649,15126,13497,16210,9875,53402,52491,11532,58700,45818
13375,14366,13690,15046,13479,16181,9907,53338,52404,11503,58617,45757
13367,14383,13706,15050,13532,16198,9906,53394,52507,11536,58686,45810
13391,14374,13724,14994,13545,16205,9940,53404,52514,11514,58707,45792
13397,14377,13763,15012,13528,16180,9892,53400,52480,11526,58737,45754
13421,14358,13811,14983,13478,16178,9922,53420,52476,11525,58693,45782
13443,14366,13833,15045,13448,16169,9888,53428,52475,11500,58732,45759
13433,14360,13813,14955,13379,16182,9882,53289,52478,11535,58646,45739
13445,14382,13823,14971,13367,16241,9896,53361,52493,11539,58716,45797
13424,14358,13821,15032,13379,16244,9931,53438,52469,11534,58741,45807
13441,14374,13816,15052,13366,16253,9900,53434,52494,11524,58741,45812
13418,14353,13802,15024,13346,16264,9926,53417,52421,11529,58668,45794
13418,14360,13793,15023,13344,16292,9903,53380,52443,11513,58707,45792
13401,14387,13781,15062,13341,16286,9897,53408,52430,11525,58690,45792
13429,14396,13772,15052,13352,16317,9943,53421,52513,11534,58713,45879
13383,14412,13743,14992,13353,16272,9946,53300,52500,11525,58619,45841
13383,14408,13730,15046,13363,16335,9922,53371,52486,11533,58708,45826
13392,14374,13735,15042,13351,16270,9900,53346,52397,11524,58607,45806
13394,14389,13725,15047,13356,16297,9938,53318,52496,11540,58673,45886
13379,14378,13721,15130,13375,16266,9883,53413,52443,11534,58658,45813
13409,14434,13724,15081,13403,16268,9971,53391,52608,11546,58710,45925
13396,14412,13713,15100,13405,16242,9913,53348,52511,11536,58681,45821
13369,14408,13712,15083,13442,16201,9945,53377,52512,11543,58630,45904
13385,14398,13710,15101,13463,16177,9896,53347,52476,11531,58681,45786
13387,14386,13702,15044,13497,16209,9926,53340,52506,11513,58668,45802
13379,14387,13687,15021,13522,16189,9899,53314,52486,11537,58689,45772
13394,14415,13716,14987,13534,16206,9952,53383,52566,11535,58729,45847
13408,14404,13743,14982,13530,16175,9958,53357,52572,11527,58708,45864
