taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38688,42191,41678,34626,54055,53227,157183
38691,42108,41627,34616,53963,53209,157042
38662,42121,41698,34591,53973,53206,157072
38652,42128,41599,34685,53981,53223,157064
38691,42125,41628,34699,54013,53250,157143
38697,42139,41660,34673,54043,53267,157169
38736,42195,41710,34713,54080,53308,157354
38696,42082,41679,34606,53944,53246,157063
38664,42098,41622,34608,53982,53192,156992
38638,42072,41554,34638,53955,53185,156902
38696,42175,41632,34662,54048,53231,157165
38615,42163,41637,34675,54022,53252,157090
38693,42109,41669,34605,53975,53217,157076
38627,42039,41643,34602,53948,53152,156911
38648,42106,41587,34611,53928,53172,156952
38656,42091,41653,34603,53986,53184,157003
38696,42205,41644,34634,54051,53243,157179
38722,42145,41611,34644,54046,53233,157122
38617,42129,41692,34660,54042,53216,157098
38653,42141,41666,34591,54004,53204,157051
38694,42173,41669,34650,54055,53247,157186
38684,42170,41608,34568,53985,53201,157030
38675,42126,41615,34646,54002,53188,157062
38704,42269,41637,34711,54153,53235,157321
38697,42195,41647,34669,54037,53237,157208
38676,42111,41618,34628,53979,53228,157033
38730,42122,41649,34603,54044,53187,157104
38697,42141,41620,34672,53997,53204,157130
38671,42225,41670,34691,54081,53274,157257
38662,42152,41640,34675,54035,53217,157129
38701,42154,41665,34694,54062,53235,157214
38644,42147,41698,34657,54078,53196,157146
38603,42165,41718,34672,54076,53219,157158
38616,42166,41567,34623,53969,53202,156972
38696,42188,41680,34760,54163,53223,157324
38625,42230,41584,34716,54125,53223,157155
38682,42215,41559,34715,54046,53275,157171
38609,42149,41551,34644,54002,53149,156953
38674,42208,41526,34727,54050,53205,157135
38685,42190,41503,34781,54063,53238,157159
38668,42206,41448,34821,54082,53249,157143
38579,42252,41328,34835,54030,53220,156994
38611,42259,41333,34951,54186,53192,157154
38555,42186,41250,34929,54015,53183,156920
38580,42179,41161,34993,54025,53230,156913
38580,42125,41160,35101,54024,53223,156966
38588,42207,41162,35187,54144,53293,157144
38592,42136,41179,35214,54159,53256,157121
38507,42197,41134,35205,54127,53213,157043
38542,42189,41133,35205,54131,53213,157069
38541,42154,41198,35242,54119,53242,157135
38542,42219,41180,35215,54186,53217,157156
38529,42134,41143,35263,54100,53253,157069
38453,42151,41114,35277,54120,53212,156995
38480,42172,41091,35311,54150,53219,157054
38499,42170,41151,35272,54144,53224,157092
38493,42166,41117,35325,54120,53257,157101
38420,42108,41080,35316,54075,53216,156924
38411,42212,41091,35351,54128,53324,157065
38504,42170,41117,35332,54153,53253,157123
38489,42193,41154,35359,54151,53262,157195
38471,42175,41149,35374,54183,53251,157169
38456,42117,41035,35365,54119,53185,156973
38422,42111,41126,35335,54133,53180,156994
38457,42124,41116,35385,54151,53198,157082
38458,42148,41123,35392,54183,53238,157121
38444,42190,41108,35371,54170,53237,157113
38483,42112,41127,35376,54168,53227,157098
38466,42178,41093,35328,54162,53218,157065
38482,42143,41140,35352,54159,53224,157117
38453,42182,41183,35401,54227,53276,157219
38487,42135,41158,35366,54179,53242,157146
38492,42154,41161,35408,54227,53283,157215
38467,42172,41039,35335,54118,53220,157013
38468,42185,41123,35384,54118,53327,157160
38473,42123,41131,35339,54117,53250,157066
38529,42235,41103,35339,54182,53324,157206
38508,42221,41146,35357,54190,53313,157232
38505,42234,41174,35426,54240,53371,157339
38500,42213,41131,35375,54183,53321,157219
38561,42189,41188,35282,54150,53294,157220
38557,42181,41167,35243,54097,53304,157148
38632,42245,41226,35150,54148,53289,157253
38626,42155,41214,35057,54082,53231,157052
38586,42249,41263,34941,54155,53148,157039
38632,42118,41364,34846,54062,53096,156960
38663,42255,41412,34792,54161,53157,157122
38658,42186,41446,34772,54121,53149,157062
38676,42198,41451,34739,54047,53152,157064
38676,42186,41410,34713,54050,53150,156985
38668,42127,41420,34731,54052,53116,156946
38639,42164,41358,34769,54085,53056,156930
38628,42212,41394,34765,54120,53144,156999
38609,42195,41460,34731,54108,53125,156995
38623,42183,41466,34791,54094,53192,157063
38642,42196,41475,34792,54155,53152,157105
38605,42252,41438,34764,54116,53114,157059
38642,42178,41417,34704,54115,53080,156941
38653,42225,41456,34740,54150,53136,157074
38590,42147,41436,34715,54050,53076,156888
38619,42141,41524,34700,54068,53104,156984
38628,42093,41400,34721,53995,53089,156842
38626,42147,41473,34677,53999,53120,156923
38648,42205,41515,34649,54063,53154,157017
38601,42138,41507,34664,54019,53124,156910
38626,42157,41450,34723,54044,53127,156956
38684,42206,41527,34666,54050,53174,157083
38651,42186,41496,34710,54065,53137,157043
38650,42208,41543,34702,54122,53161,157103
38648,42246,41591,34715,54149,53162,157200
38599,42227,41564,34717,54100,53167,157107
38609,42186,41493,34731,54130,53125,157019
38648,42230,41574,34751,54134,53181,157203
38651,42173,41522,34773,54130,53180,157119
38574,42207,41495,34768,54111,53143,157044
38607,42123,41523,34688,54028,53108,156941
