taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39122,42226,41164,34920,54094,53183,157432
39080,42207,41250,34879,54077,53128,157416
39176,42168,41220,34848,54012,53184,157412
39078,42153,41191,34863,53970,53164,157285
39125,42188,41283,34905,54059,53241,157501
39144,42223,41196,34891,54061,53202,157454
39183,42199,41244,34879,54069,53225,157505
39096,42245,41225,34916,54104,53187,157482
39137,42240,41229,34867,54102,53145,157473
39133,42200,41187,34852,54009,53181,157372
39131,42277,41222,34924,54148,53197,157554
39173,42232,41214,34906,54081,53224,157525
39173,42206,41272,34919,54077,53229,157570
39108,42203,41176,34870,54101,53144,157357
39142,42180,41208,34841,54031,53175,157371
39148,42167,41175,34864,54011,53177,157354
39136,42184,41226,34924,54088,53200,157470
39195,42194,41270,34886,54133,53184,157545
39193,42253,41276,34978,54176,53269,157700
39199,42197,41266,34863,54015,53232,157525
39178,42204,41249,34921,54085,53208,157552
39198,42225,41276,34915,54140,53224,157614
39201,42223,41279,34926,54104,53247,157629
39181,42224,41243,34938,54103,53256,157586
39196,42237,41307,34923,54160,53232,157663
39123,42237,41234,34965,54118,53220,157559
39153,42179,41234,34874,54078,53204,157440
39162,42147,41235,34886,54053,53196,157430
39200,42225,41229,34916,54147,53192,157570
39198,42160,41246,34897,54097,53202,157501
39109,42233,41201,34947,54055,53226,157490
39139,42138,41222,34876,54006,53162,157375
39128,42193,41222,34877,54066,53137,157420
39157,42219,41242,34900,54110,53202,157518
39177,42307,41271,34920,54189,53265,157675
39182,42213,41288,34944,54228,53207,157627
39200,42267,41289,34949,54180,53250,157705
39187,42153,41250,34948,54147,53190,157538
39163,42172,41264,34878,54102,53194,157477
39141,42220,41237,34903,54113,53191,157501
39168,42244,41260,34934,54162,53252,157606
39172,42260,41275,34962,54171,53217,157669
39173,42301,41238,34975,54212,53266,157687
39135,42232,41239,34950,54156,53221,157556
39163,42201,41296,34928,54146,53209,157588
39151,42169,41249,34900,54105,53169,157469
39176,42240,41286,34923,54159,53250,157625
39160,42242,41292,34889,54196,53244,157583
39193,42229,41276,34957,54213,53208,157655
39102,42232,41256,34920,54141,53202,157510
39168,42191,41266,34897,54112,53180,157522
39145,42205,41230,34908,54113,53206,157488
39144,42230,41250,34916,54110,53229,157540
39163,42249,41272,34957,54184,53256,157641
39133,42224,41294,34951,54157,53237,157602
39131,42214,41222,34925,54130,53212,157492
39126,42264,41329,34929,54185,53224,157648
39144,42205,41270,34884,54100,53237,157503
39134,42225,41293,34970,54188,53234,157622
39183,42203,41305,34969,54154,53291,157660
39082,42197,41286,35030,54164,53247,157595
39082,42240,41300,34924,54154,53229,157546
39117,42230,41302,34969,54154,53264,157618
39050,42291,41289,34932,54232,53184,157562
39080,42275,41289,34976,54216,53250,157620
39073,42243,41303,34992,54168,53255,157611
39014,42240,41272,35007,54162,53245,157533
39012,42238,41286,34987,54164,53257,157523
39015,42254,41287,35052,54217,53228,157608
39041,42276,41279,34974,54216,53218,157570
39073,42322,41392,35075,54314,53318,157862
39072,42229,41283,35050,54179,53278,157634
39070,42333,41335,35080,54311,53303,157818
39104,42302,41378,35056,54254,53292,157840
39050,42281,41325,35075,54207,53324,157731
39032,42176,41243,34960,54154,53186,157411
39063,42264,41282,35012,54196,53236,157621
39030,42220,41267,35013,54119,53251,157530
39095,42228,41284,35065,54209,53291,157672
39041,42233,41278,35030,54210,53238,157582
39064,42236,41328,35042,54234,53268,157670
39100,42282,41260,35049,54255,53266,157691
39101,42258,41308,35145,54276,53332,157812
39080,42259,41276,35081,54245,53288,157696
39084,42243,41301,35077,54212,53271,157705
39079,42209,41278,35054,54200,53254,157620
39081,42289,41281,35072,54256,53288,157723
39054,42251,41247,35111,54245,53251,157663
39101,42277,41333,35041,54238,53314,157752
39115,42255,41301,35066,54203,53311,157737
39109,42365,41281,35111,54335,53321,157866
39105,42248,41303,35037,54249,53286,157693
39061,42235,41370,35039,54184,53296,157705
39072,42266,41262,35070,54212,53258,157670
39068,42330,41271,35091,54305,53309,157760
39089,42190,41256,35035,54134,53245,157570
39011,42284,41326,35043,54265,53250,157664
39073,42266,41305,34996,54233,53249,157640
39052,42235,41332,34999,54242,53230,157618
39052,42244,41297,35031,54189,53259,157624
39084,42230,41288,35061,54247,53261,157663
39022,42226,41252,35060,54167,53288,157560
39048,42298,41304,35079,54297,53280,157729
39065,42257,41282,35072,54238,53279,157676
39103,42232,41262,35003,54194,53258,157600
39046,42310,41290,35150,54292,53341,157796
39108,42271,41343,35085,54285,53301,157807
39067,42287,41314,35083,54265,53306,157751
39095,42288,41328,35058,54297,53319,157769
39067,42179,41252,35052,54168,53252,157550
39052,42228,41295,35005,54235,53264,157580
39019,42263,41288,35016,54234,53236,157586
39063,42204,41353,35039,54229,53280,157659
39015,42159,41247,35031,54169,53223,157452
39017,42281,41252,35096,54241,53266,157646
39032,42284,41375,35054,54292,53268,157745
39059,42257,41289,35012,54192,53289,157617
39085,42195,41306,34995,54226,53230,157581
39072,42336,41318,35074,54321,53275,157800
39107,42350,41336,35093,54347,53370,157886
39146,42351,41354,35075,54337,53342,157926
39059,42276,41303,35050,54254,53273,157688
39105,42297,41304,35040,54297,53301,157746
39093,42229,41285,35017,54222,53269,157624
39076,42301,41296,35052,54268,53289,157725
39081,42322,41311,35086,54329,53295,157800
39082,42329,41295,35061,54259,53317,157767
39097,42288,41324,34980,54231,53294,157689
39120,42206,41288,35021,54193,53293,157635
39180,42226,41276,34991,54165,53288,157673
39181,42289,41370,35009,54281,53353,157849
39193,42276,41300,34997,54222,53326,157766
39159,42275,41336,34974,54228,53311,157744
39161,42222,41228,34964,54098,53319,157575
39144,42289,41286,34955,54200,53281,157674
39115,42235,41268,34999,54171,53272,157617
39120,42311,41285,34955,54195,53297,157671
39116,42308,41394,34928,54235,53308,157746
39177,42274,41326,34963,54251,53264,157740
39187,42208,41248,34913,54115,53245,157556
39164,42231,41251,34941,54118,53264,157587
39128,42252,41272,34914,54117,53245,157566
39180,42268,41223,34935,54149,53258,157606
39188,42254,41279,34992,54173,53282,157713
39196,42171,41287,34954,54128,53258,157608
39181,42152,41245,34943,54088,53210,157521
39195,42212,41252,34926,54142,53216,157585
39143,42195,41246,34969,54103,53227,157553
39184,42222,41228,34979,54156,53254,157613
39198,42233,41265,34902,54137,53241,157598
39252,42311,41262,34987,54242,53294,157812
39199,42293,41304,34950,54218,53258,157746
39202,42241,41265,34954,54142,53235,157662
39209,42238,41300,34939,54184,53243,157686
39208,42252,41292,34894,54139,53229,157646
39201,42286,41332,34961,54178,53274,157780
39231,42264,41298,34972,54186,53264,157765
39134,42199,41268,34933,54107,53217,157534
39192,42236,41257,34905,54120,53238,157590
39152,42221,41225,34880,54093,53189,157478
39159,42338,41261,34967,54216,53294,157725
39187,42261,41279,34934,54160,53283,157661
39239,42207,41227,34951,54107,53273,157624
39112,42158,41250,34819,53961,53180,157339
39152,42224,41245,34866,54085,53221,157487
39185,42257,41258,34876,54123,53229,157576
39157,42278,41260,34898,54157,53244,157593
39165,42319,41296,34869,54158,53246,157649
