taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39381,42866,41816,35612,55086,53964,159675
39494,42814,41777,35575,55113,53961,159660
39471,42820,41793,35547,55075,53945,159631
39401,42851,41754,35637,55092,54029,159643
39398,42736,41734,35497,54960,53914,159365
39463,42746,41744,35457,54914,53894,159410
39392,42716,41691,35447,54879,53903,159246
39387,42765,41654,35443,54913,53891,159249
39453,42737,41638,35459,54898,53845,159287
39403,42739,41625,35423,54831,53836,159190
39415,42661,41594,35434,54816,53779,159104
39410,42717,41563,35439,54761,53863,159129
39462,42716,41630,35429,54837,53777,159237
39447,42753,41693,35422,54832,53859,159315
39492,42751,41632,35516,54927,53867,159391
39532,42723,41696,35475,54876,53884,159426
39452,42718,41658,35394,54798,53842,159222
39465,42679,41605,35389,54757,53795,159138
39435,42726,41597,35369,54730,53832,159127
39483,42756,41610,35419,54771,53901,159268
39478,42736,41617,35484,54835,53882,159315
39505,42707,41700,35474,54865,53850,159386
39564,42772,41600,35398,54812,53890,159334
39521,42725,41650,35450,54871,53878,159346
39400,42649,41663,35366,54708,53819,159078
39410,42735,41599,35395,54787,53869,159139
39387,42641,41588,35390,54670,53841,159006
39431,42653,41603,35384,54747,53857,159071
39385,42647,41582,35441,54743,53847,159055
39401,42705,41573,35355,54703,53851,159034
39401,42608,41580,35363,54678,53830,158952
39339,42686,41558,35373,54766,53847,158956
39328,42693,41604,35453,54796,53930,159078
39263,42650,41623,35405,54748,53904,158941
39280,42609,41614,35422,54742,53889,158925
39259,42710,41579,35396,54721,53915,158944
39329,42656,41610,35448,54833,53922,159043
39348,42669,41629,35420,54801,53906,159066
39331,42703,41703,35416,54849,53938,159153
39315,42656,41569,35378,54764,53884,158918
39319,42672,41599,35432,54799,53871,159022
39281,42701,41556,35452,54758,53912,158990
39316,42715,41533,35404,54791,53855,158968
39392,42670,41578,35502,54824,53933,159142
39343,42646,41585,35432,54781,53878,159006
39308,42676,41595,35471,54782,53896,159050
39324,42613,41581,35330,54612,53857,158848
39390,42639,41612,35461,54813,53887,159102
39433,42667,41610,35428,54844,53882,159138
39360,42761,41627,35422,54817,53977,159170
39347,42694,41577,35402,54763,53835,159020
39306,42693,41628,35440,54774,53883,159067
39324,42618,41579,35431,54754,53828,158952
39332,42641,41614,35401,54796,53798,158988
39245,42608,41500,35388,54674,53777,158741
39224,42638,41595,35486,54789,53811,158943
39217,42669,41551,35463,54800,53770,158900
39261,42663,41599,35465,54759,53845,158988
39219,42561,41557,35424,54662,53796,158761
39232,42675,41566,35451,54761,53830,158924
39317,42668,41582,35430,54757,53853,158997
39340,42756,41641,35456,54861,53905,159193
39355,42702,41638,35460,54850,53898,159155
39363,42676,41588,35456,54825,53850,159083
39329,42644,41649,35468,54770,53881,159090
39358,42701,41601,35450,54789,53892,159110
39352,42661,41589,35485,54775,53908,159087
39384,42760,41675,35491,54870,53955,159310
39366,42724,41579,35490,54842,53896,159159
39363,42709,41624,35505,54837,53897,159201
39398,42675,41599,35481,54832,53877,159153
39418,42729,41632,35461,54829,53916,159240
39435,42730,41661,35480,54873,53907,159306
39432,42694,41670,35487,54853,53928,159283
39408,42747,41733,35463,54829,53971,159351
39481,42826,41695,35533,54929,54034,159535
39471,42764,41682,35502,54932,53961,159419
39479,42765,41708,35531,54915,54007,159483
39424,42709,41729,35515,54896,53960,159377
39488,42750,41707,35504,54890,53955,159449
39471,42713,41685,35523,54860,53943,159392
39415,42764,41686,35495,54892,53932,159360
39415,42736,41719,35515,54868,53962,159385
39422,42746,41694,35497,54893,53924,159359
39459,42760,41679,35490,54876,54006,159388
39457,42807,41750,35501,54919,53995,159515
39509,42774,41734,35497,54881,53995,159514
39495,42799,41763,35511,54865,54066,159568
39454,42750,41735,35439,54870,53964,159378
39498,42792,41748,35478,54904,54061,159516
39440,42827,41691,35475,54861,54027,159433
39516,42829,41850,35512,54950,54114,159707
39421,42801,41800,35448,54842,54006,159470
39483,42823,41891,35432,54879,54080,159629
39437,42695,41844,35454,54791,54053,159430
39521,42739,41813,35376,54844,54023,159449
39418,42745,41758,35447,54768,54022,159368
39470,42779,41715,35470,54895,54023,159434
39429,42768,41679,35470,54848,54004,159346
39433,42680,41669,35457,54800,53915,159239
39380,42712,41686,35463,54799,53869,159241
