taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38687,42293,41612,34694,54159,53243,157286
38684,42189,41602,34798,54104,53259,157273
38637,42269,41691,34726,54153,53253,157323
38630,42211,41694,34744,54137,53232,157279
38635,42282,41596,34758,54180,53211,157271
38595,42177,41553,34791,54086,53237,157116
38628,42187,41457,34791,54039,53185,157063
38631,42286,41431,34839,54155,53236,157187
38614,42264,41430,34835,54147,53190,157143
38587,42182,41305,34825,54050,53125,156899
38580,42267,41297,34986,54114,53232,157130
38608,42259,41224,35066,54181,53242,157157
38627,42248,41225,35147,54174,53301,157247
38537,42219,41244,35209,54151,53306,157209
38583,42189,41199,35265,54170,53299,157236
38564,42181,41121,35218,54109,53246,157084
38524,42080,41191,35286,54127,53188,157081
38596,42123,41208,35297,54115,53306,157224
38568,42259,41172,35334,54193,53357,157333
38569,42206,41165,35233,54132,53281,157173
38578,42189,41190,35190,54126,53254,157147
38515,42082,41168,35162,54028,53195,156927
38494,42088,41146,35187,54042,53183,156915
38454,42160,41125,35188,54048,53205,156927
38458,42243,41191,35217,54173,53207,157109
38494,42113,41086,35201,54011,53225,156894
38482,42193,41176,35243,54113,53237,157094
38491,42109,41082,35183,54014,53210,156865
38478,42132,41127,35198,54051,53182,156935
38495,42140,41120,35222,54047,53205,156977
38501,42213,41167,35228,54150,53231,157109
38503,42134,41154,35230,54079,53240,157021
38540,42178,41157,35256,54128,53237,157131
38475,42173,41148,35265,54101,53227,157061
38492,42154,41138,35285,54153,53213,157069
38552,42177,41171,35298,54189,53211,157198
38493,42163,41145,35293,54125,53231,157094
38501,42234,41142,35328,54226,53243,157205
38541,42199,41144,35322,54167,53268,157206
38507,42132,41121,35329,54104,53242,157089
38496,42209,41117,35322,54186,53253,157144
38526,42184,41129,35317,54164,53258,157156
38532,42220,41187,35381,54215,53302,157320
38538,42186,41161,35347,54194,53248,157232
38528,42168,41170,35349,54188,53281,157215
38489,42128,41084,35344,54137,53198,157045
38569,42131,41144,35357,54188,53235,157201
38517,42102,41152,35365,54126,53222,157136
38502,42254,41166,35453,54290,53282,157375
38521,42137,41168,35362,54170,53260,157188
38590,42177,41160,35441,54258,53325,157368
38571,42182,41128,35450,54228,53317,157331
38590,42194,41143,35385,54235,53301,157312
38569,42170,41164,35384,54227,53265,157287
38572,42163,41159,35406,54227,53289,157300
38560,42182,41148,35453,54260,53272,157343
38612,42198,41249,35504,54351,53332,157563
38578,42142,41186,35418,54227,53278,157324
38633,42241,41213,35408,54313,53337,157495
