Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
SHANK_R,-0.00646516179338893,0.127112237071497,0.487093988447714,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHANK_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHANK_R.STL,,3RL-4-2,RLeg Frame4,RLeg Axis4,Knee_R,revolute,0,0,-0.34000000271653,0,0,0,THIGH_R,0,1,0,72,9.37,0,2.443,,,,,,,,
ASTRAGALUS_R,-0.0064651617933778,0.127112237071498,0.847093988447712,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/ASTRAGALUS_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/ASTRAGALUS_R.STL,,3RL-5-2,RLeg Frame5,RLeg Axis5,Ankle_Y_R,revolute,0,0,-0.359999999999998,0,0,0,SHANK_R,0,-1,0,13,10.26,-0.698,1.309,,,,,,,,
FOOT_R,-0.0064651617933778,0.127112237071498,0.847093988447712,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOOT_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOOT_R.STL,,3RL-6-2,RLeg Frame6,RLeg Axis6,Ankle_X_R,revolute,0,0,0,0,0,0,ASTRAGALUS_R,-1,0,0,18,10.26,-0.331,0.331,,,,,,,,
TIPTOE_Z_R,1.38777878078145E-17,0,0,0,0,0,6.67588438887831E-08,1.66897109721958E-15,0,0,1.66897109721958E-15,0,1.66897109721958E-15,0,0,0,0,0,0,package://3N2-JUNE/meshes/TIPTOE_Z_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/TIPTOE_Z_R.STL,,3JIDIAN-2,RLeg Frame7,RLeg Axis6,Tiptoe_Z_R,fixed,0,0,-0.0849700000000022,0,0,0,FOOT_R,0,0,0,,,,,,,,,,,,
ILIUM_L,-0.00646515657504465,-0.0553917685196062,0.147093985731184,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/ILIUM_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/ILIUM_L.STL,,3LL-1-2,LLeg Frame1,LLeg Axis1,Hip_Z_L,revolute,0,0.0509999999999993,-0.169799999999999,0,0,0,SACRUM,0,0,1,72,9.37,-0.209,0.209,,,,,,,,
ISCHIUM_L,-0.00646515657504027,-0.092891768519614,0.147093985731186,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/ISCHIUM_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/ISCHIUM_L.STL,,3LL-2-2,LLeg Frame2,LLeg Axis2,Hip_X_L,revolute,0,0.0375000000000079,0,0,0,0,ILIUM_L,-1,0,0,72,8.37,-0.436,0.436,,,,,,,,
THIGH_L,-0.00646515657503931,-0.135895774110727,0.147093985731185,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/THIGH_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/THIGH_L.STL,,3LL-3-2,LLeg Frame3,LLeg Axis3,Hip_Y_L,revolute,0,0.0430040055911133,0,0,0,0,ISCHIUM_L,0,-1,0,31.2,7.85,-2.443,0.436,,,,,,,,
SHANK_L,-0.00646515657503627,-0.135895774110726,0.487093985731233,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHANK_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHANK_L.STL,,3LL-4-2,LLeg Frame4,LLeg Axis4,Knee_L,revolute,0,0,-0.340000000000048,0,0,0,THIGH_L,0,-1,0,72,9.37,0,2.443,,,,,,,,
ASTRAGALUS_L,-0.00646515657504038,-0.135895774110725,0.84709398573124,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/ASTRAGALUS_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/ASTRAGALUS_L.STL,,3LL-5-2,LLeg Frame5,LLeg Axis5,Ankle_Y_L,revolute,0,0,-0.360000000000007,0,0,0,SHANK_L,0,1,0,13,10.26,-0.698,1.309,,,,,,,,
FOOT_L,-0.00646515657504038,-0.135895774110725,0.84709398573124,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOOT_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOOT_L.STL,,3LL-6-2,LLeg Frame6,LLeg Axis6,Ankle_X_L,revolute,0,0,0,0,0,0,ASTRAGALUS_L,-1,0,0,18,10.26,-0.331,0.331,,,,,,,,
TIPTOE_Z_L,1.38777878078145E-17,0,0,0,0,0,6.67588438887831E-08,1.66897109721958E-15,0,0,1.66897109721958E-15,0,1.66897109721958E-15,0,0,0,0,0,0,package://3N2-JUNE/meshes/TIPTOE_Z_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/TIPTOE_Z_L.STL,,3JIDIAN-1,LLeg Frame7,LLeg Axis6,Tiptoe_Z_L,fixed,0,0,-0.0849700027164743,0,0,0,FOOT_L,0,0,0,,,,,,,,,,,,
NECK,-0.0064651565750363,-0.00439176851961525,-0.52384522608025,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/NECK.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/NECK.STL,,3NECK-2,Neck Frame1,Neck Axis1,Neck_Z,revolute,-0.00138723248111886,0,0.0890000000000004,0,0,0,TORSO,0,0,-1,7,3.62,-0.785,0.785,,,,,,,,
HEAD,-0.00646515657503448,-0.00439176851961304,-0.565845226080245,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/HEAD.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/HEAD.STL,,3HEAD-2,Neck Frame2,Neck Axis2,Neck_Y,revolute,0,0,0.0419999999999958,0,0,0,NECK,0,-1,0,7,3.62,-0.174,0.349,,,,,,,,
