taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38563,42214,41357,34764,54036,53129,156898
38564,42214,41425,34802,54062,53182,157005
38556,42193,41303,34800,54049,53103,156852
38537,42205,41349,34779,54059,53080,156870
38531,42292,41254,34836,54145,53091,156913
38485,42176,41258,34757,53982,53060,156676
38495,42230,41262,34825,54073,53125,156812
38550,42187,41220,34842,54004,53136,156799
38527,42237,41213,34858,54059,53122,156835
38516,42211,41224,34855,53999,53147,156806
38531,42210,41202,34811,53987,53157,156754
38531,42190,41151,34865,54001,53131,156737
38508,42215,41184,34881,54021,53153,156788
38531,42189,41175,34945,54042,53155,156840
38509,42177,41131,34936,54018,53164,156753
38608,42164,41154,34943,53973,53206,156869
38618,42140,41136,34939,54020,53169,156833
38659,42124,41122,34964,53980,53147,156869
38682,42091,41148,34988,54085,53179,156909
38710,42156,41214,34978,54135,53175,157058
38777,42083,41126,34969,54023,53163,156955
38832,42132,41149,34898,54035,53201,157011
38850,42115,41142,34900,54072,53147,157007
38920,42052,41218,34743,54005,53121,156933
38890,42049,41249,34708,53961,53096,156896
38905,42157,41357,34786,54099,53179,157205
38835,42078,41264,34739,54001,53118,156916
38875,42075,41332,34627,53930,53118,156909
38819,42092,41384,34685,54015,53139,156980
38830,42082,41430,34638,54007,53123,156980
38720,42173,41379,34658,54019,53106,156930
38672,42097,41389,34679,53994,53064,156837
38605,42113,41360,34776,54057,53078,156854
38533,42236,41276,34770,54046,53091,156815
38530,42212,41273,34832,54110,53046,156847
38522,42155,41291,34768,54011,53072,156736
38527,42187,41244,34824,54083,53078,156782
38528,42234,41241,34869,54044,53131,156872
38508,42237,41204,34943,54096,53098,156892
38541,42227,41218,34871,54089,53112,156857
38539,42205,41162,34911,54045,53114,156817
38558,42197,41231,34905,54067,53147,156891
38525,42168,41189,34971,54042,53183,156853
38519,42258,41169,34979,54093,53182,156925
38536,42138,41173,34947,54007,53164,156794
38630,42175,41193,34974,54062,53210,156972
38563,42149,41192,34933,53973,53206,156837
38655,42123,41218,34945,54071,53150,156941
38653,42164,41190,34932,54070,53184,156939
38687,42111,41215,34928,54072,53175,156941
38741,42099,41213,34989,54120,53172,157042
38760,42106,41200,34873,54073,53139,156939
38756,42067,41164,34859,54047,53111,156846
38737,42093,41217,34810,54041,53113,156857
38796,42140,41221,34829,54116,53134,156986
38714,42171,41258,34851,54109,53158,156994
38727,42149,41270,34838,54085,53135,156984
38652,42115,41259,34796,54022,53078,156822
38616,42089,41223,34810,53976,53083,156738
38652,42145,41266,34788,54101,53074,156851
38626,42090,41316,34799,54041,53066,156831
38652,42143,41302,34800,54104,53091,156897
38607,42175,41242,34797,54089,53030,156821
38609,42143,41233,34839,54065,53063,156824
38544,42087,41218,34813,54028,53038,156662
38520,42203,41203,34814,54060,53044,156740
38521,42219,41196,34874,54086,53117,156810
38479,42226,41208,34865,54068,53103,156778
38514,42237,41187,34969,54104,53165,156907
38483,42165,41228,34841,54038,53063,156717
38525,42142,41163,34927,54043,53078,156757
38494,42161,41156,34926,54023,53137,156737
38532,42157,41208,34981,54057,53162,156878
38590,42093,41187,35005,54026,53188,156875
38656,42054,41158,35010,54006,53181,156878
38632,42181,41137,34997,54070,53232,156947
38751,42054,41145,34932,53981,53183,156882
38805,42097,41172,34855,54016,53151,156929
38795,42087,41146,34901,54012,53194,156929
38857,42062,41172,34850,54006,53158,156941
38905,42152,41237,34792,54007,53196,157086
38896,42041,41227,34740,53923,53176,156904
38799,42130,41267,34767,54026,53143,156963
38859,42111,41346,34728,54041,53163,157044
