taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13401,14428,13754,15081,13371,16298,9890,53412,52546,11576,58703,45870
13387,14466,13760,15062,13390,16362,9910,53406,52621,11566,58760,45916
13407,14433,13752,15069,13370,16295,9931,53389,52592,11548,58686,45922
13382,14426,13751,15074,13361,16333,9918,53407,52524,11542,58693,45882
13386,14430,13738,15161,13389,16279,9936,53490,52515,11534,58696,45854
13373,14398,13751,15074,13373,16281,9885,53379,52444,11538,58632,45790
13390,14455,13750,15085,13383,16285,9928,53393,52577,11537,58675,45874
13384,14439,13753,15057,13399,16247,9924,53355,52552,11545,58662,45874
13385,14438,13727,15121,13406,16230,9932,53410,52558,11551,58660,45926
13365,14443,13740,15080,13416,16232,9918,53404,52500,11548,58698,45870
13384,14449,13759,15078,13412,16218,9897,53389,52492,11537,58644,45851
13391,14423,13739,15078,13432,16204,9900,53357,52497,11537,58680,45839
13373,14436,13736,15109,13440,16214,9917,53421,52521,11541,58685,45871
13402,14423,13738,15074,13462,16219,9945,53407,52576,11532,58657,45920
13390,14417,13733,15084,13471,16177,9939,53379,52553,11543,58658,45846
13383,14398,13772,15066,13492,16203,9908,53384,52540,11544,58732,45901
13405,14396,13754,15073,13485,16204,9904,53382,52531,11534,58721,45856
13413,14383,13764,15059,13483,16201,9898,53386,52538,11517,58714,45827
13455,14396,13771,15037,13475,16212,9956,53387,52614,11537,58749,45906
13428,14399,13787,15092,13454,16271,9956,53447,52629,11535,58801,45886
13435,14388,13800,15028,13471,16214,9938,53380,52595,11504,58762,45872
13450,14405,13836,15056,13435,16191,9911,53472,52558,11525,58735,45863
13468,14377,13812,15060,13429,16211,9930,53429,52582,11529,58747,45870
13459,14362,13826,15039,13382,16252,9865,53389,52499,11551,58740,45869
13476,14376,13797,15011,13366,16235,9857,53343,52517,11557,58686,45877
13472,14415,13818,15064,13375,16310,9900,53465,52631,11571,58861,45915
13447,14388,13803,15043,13368,16270,9868,53381,52525,11559,58743,45796
13449,14388,13828,15010,13342,16290,9816,53394,52455,11560,58727,45796
13437,14369,13817,15058,13362,16282,9871,53449,52489,11591,58760,45875
13455,14375,13812,15053,13346,16345,9819,53460,52504,11590,58800,45851
13416,14382,13798,15103,13352,16290,9841,53516,52470,11574,58741,45820
13409,14368,13763,15073,13359,16314,9843,53424,52443,11574,58708,45809
13415,14399,13758,15049,13375,16321,9912,53401,52549,11546,58719,45880
13385,14435,13742,15111,13371,16265,9906,53448,52503,11543,58670,45856
13398,14408,13725,15092,13381,16286,9949,53400,52522,11532,58693,45855
13386,14417,13742,15052,13370,16315,9899,53353,52522,11543,58710,45775
13393,14401,13747,15109,13389,16284,9924,53420,52531,11541,58689,45858
13381,14436,13742,15111,13415,16260,9910,53433,52540,11538,58693,45855
13379,14427,13723,15101,13408,16240,9976,53383,52561,11540,58673,45948
13392,14404,13738,15113,13424,16249,9941,53423,52521,11546,58736,45875
13403,14426,13720,15091,13436,16205,9918,53385,52543,11532,58633,45863
13399,14418,13737,15088,13442,16250,9927,53425,52560,11550,58711,45877
13405,14427,13729,15065,13472,16218,9941,53408,52589,11555,58701,45870
13391,14424,13734,15138,13481,16202,9952,53472,52583,11543,58720,45896
13402,14413,13731,15049,13480,16214,9933,53380,52550,11540,58657,45865
13412,14420,13768,15078,13502,16238,9932,53444,52586,11520,58822,45842
13408,14405,13736,15061,13494,16203,9870,53419,52533,11571,58771,45820
13424,14386,13765,15065,13464,16242,9933,53430,52568,11535,58746,45906
13447,14407,13772,15078,13463,16218,9924,53482,52565,11542,58784,45874
13433,14389,13780,15055,13458,16243,9936,53428,52572,11548,58812,45880
13437,14388,13802,15035,13440,16256,9991,53433,52637,11542,58794,45938
13430,14371,13815,15056,13422,16268,9936,53435,52529,11531,58802,45886
13436,14376,13818,15037,13400,16246,9953,53403,52536,11517,58769,45873
13434,14372,13833,15047,13380,16265,9916,53474,52470,11528,58740,45829
13441,14378,13844,15098,13380,16243,9951,53518,52545,11532,58746,45946
13419,14400,13800,15112,13400,16267,9938,53482,52597,11558,58772,45898
13427,14403,13813,15070,13372,16277,9949,53442,52581,11547,58699,45964
13403,14389,13797,15053,13357,16278,9926,53399,52504,11535,58687,45890
13396,14375,13788,15029,13371,16249,9930,53390,52459,11549,58655,45854
13414,14381,13803,15088,13365,16299,9926,53471,52494,11525,58714,45889
13401,14392,13771,15028,13361,16295,9941,53415,52514,11542,58702,45876
13428,14408,13772,15064,13364,16295,9962,53428,52599,11547,58716,45918
13405,14385,13761,15103,13347,16274,9933,53429,52504,11537,58656,45886
13403,14382,13752,15079,13397,16255,9937,53416,52482,11532,58691,45882
13386,14365,13743,15075,13383,16245,9913,53398,52420,11547,58620,45877
13402,14396,13719,15120,13390,16231,9922,53396,52496,11539,58667,45874
13396,14421,13740,15121,13419,16240,9919,53447,52527,11537,58687,45855
13380,14420,13720,15120,13421,16236,9934,53446,52500,11542,58646,45884
13398,14444,13729,15121,13435,16205,9971,53469,52602,11557,58689,45929
13388,14381,13710,15101,13446,16270,9888,53417,52458,11526,58718,45753
13392,14368,13729,15089,13458,16228,9924,53430,52458,11523,58697,45820
13406,14406,13714,15075,13480,16203,9931,53396,52509,11537,58715,45805
13388,14420,13725,15059,13493,16254,9938,53400,52550,11524,58750,45874
13401,14393,13752,15031,13492,16236,9944,53417,52526,11551,58717,45875
13420,14380,13782,15012,13491,16209,9950,53431,52542,11528,58714,45886
13395,14411,13797,15092,13484,16197,9957,53520,52508,11540,58758,45908
13420,14387,13824,15011,13443,16200,9942,53411,52534,11529,58695,45876
13432,14384,13838,15035,13402,16219,9932,53437,52500,11527,58687,45890
13430,14407,13847,15023,13419,16231,9935,53411,52569,11521,58761,45865
13435,14378,13866,15024,13399,16232,9926,53446,52542,11515,58749,45857
13439,14414,13858,15046,13392,16260,9881,53431,52570,11532,58805,45840
13444,14393,13868,14978,13374,16232,9877,53403,52504,11541,58724,45841
13431,14409,13827,15047,13377,16268,9902,53446,52529,11530,58762,45828
13428,14393,13853,15058,13365,16317,9872,53504,52527,11552,58814,45833
13436,14408,13809,15018,13346,16318,9913,53460,52565,11568,58747,45880
13422,14400,13795,15045,13359,16355,9877,53489,52517,11584,58773,45849
13417,14396,13807,15044,13358,16310,9854,53462,52509,11584,58730,45853
13398,14402,13792,15093,13349,16299,9845,53487,52448,11564,58734,45845
13405,14389,13801,15037,13347,16313,9864,53475,52425,11544,58739,45790
13405,14392,13781,15090,13333,16356,9921,53518,52502,11551,58761,45874
13401,14431,13747,15120,13377,16306,9941,53521,52613,11589,58734,45959
13398,14459,13760,15142,13355,16335,9931,53525,52591,11542,58759,45921
13388,14438,13745,15091,13360,16295,9965,53439,52565,11537,58697,45910
13399,14402,13726,15103,13370,16274,9964,53416,52557,11551,58672,45930
13389,14432,13711,15170,13402,16269,9927,53452,52497,11534,58712,45883
13405,14385,13750,15093,13417,16261,9901,53435,52477,11539,58711,45873
13412,14390,13738,15098,13398,16226,9939,53415,52491,11533,58634,45939
13396,14402,13738,15130,13447,16256,9908,53451,52525,11520,58723,45845
13400,14403,13722,15044,13467,16230,9922,53384,52500,11541,58680,45833
13387,14403,13708,15064,13465,16195,9903,53374,52447,11534,58630,45801
13393,14389,13731,15035,13486,16219,9901,53438,52443,11542,58697,45786
13389,14380,13732,15073,13485,16219,9929,53445,52460,11529,58717,45885
13400,14419,13772,15021,13479,16216,9905,53381,52505,11524,58723,45820
13427,14400,13771,15037,13481,16209,9934,53421,52549,11535,58746,45854
13405,14401,13792,15016,13460,16204,9952,53364,52540,11545,58694,45905
