taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38950,42019,41145,34711,53860,53134,156825
38986,42055,41199,34752,53918,53171,156992
38951,41971,41154,34698,53814,53103,156774
38954,42036,41142,34720,53826,53101,156852
38994,41989,41135,34672,53794,53124,156790
38917,42113,41163,34740,53896,53175,156933
38973,41997,41138,34736,53829,53106,156844
38958,42136,41160,34687,53885,53162,156941
39000,42069,41158,34668,53856,53086,156895
38955,42066,41157,34730,53876,53141,156908
38994,42035,41160,34749,53907,53127,156938
39002,42076,41142,34697,53869,53116,156917
38967,42102,41152,34762,53935,53141,156983
39001,42032,41152,34696,53880,53082,156881
38926,42033,41157,34686,53794,53091,156802
38955,42073,41093,34689,53859,53063,156810
38989,42033,41111,34725,53840,53115,156858
39017,42058,41127,34719,53865,53145,156921
38991,42056,41086,34703,53838,53109,156836
38927,41984,41102,34640,53761,53046,156653
38922,41994,41101,34661,53750,53079,156678
38948,42025,41074,34698,53803,53091,156745
38955,42017,41084,34745,53813,53119,156801
38961,41994,41148,34714,53815,53114,156817
38970,41940,41034,34641,53736,53002,156585
38982,41983,41079,34649,53781,53058,156693
38932,42010,41081,34653,53754,53084,156676
38910,42003,41133,34662,53763,53059,156708
38987,41988,41130,34637,53758,53054,156742
38912,42000,41073,34685,53781,53070,156670
38906,42015,41087,34723,53839,53050,156731
38977,41999,41129,34657,53815,53041,156762
38964,42043,41152,34658,53843,53072,156817
38974,42032,41157,34706,53820,53110,156869
39016,42014,41195,34692,53882,53089,156917
38957,42083,41114,34744,53845,53127,156898
38939,42132,41146,34798,54023,53133,157015
38941,42037,41139,34670,53828,53099,156787
38955,42007,41118,34703,53806,53108,156783
38966,42063,41140,34668,53830,53099,156837
38965,42052,41073,34700,53833,53067,156790
38964,42031,41129,34655,53822,53071,156779
38947,42043,41124,34698,53871,53104,156812
39024,42019,41162,34611,53800,53086,156816
38956,42012,41194,34684,53818,53136,156846
38980,42113,41130,34674,53858,53116,156897
38969,41991,41121,34672,53820,53048,156753
38989,42067,41145,34641,53810,53117,156842
38946,42037,41118,34710,53809,53109,156811
38998,41985,41120,34632,53797,53051,156735
38907,41986,41086,34613,53765,53004,156592
38994,42044,41138,34600,53822,53080,156776
38911,42035,41145,34634,53811,53055,156725
38903,42004,41125,34680,53783,53078,156712
38946,42017,41093,34673,53814,53058,156729
38932,42035,41128,34635,53767,53050,156730
38956,41999,41153,34672,53803,53056,156780
38955,41966,41098,34644,53755,53054,156663
38959,42048,41163,34673,53870,53128,156843
38941,42073,41075,34713,53848,53123,156802
38964,42027,41093,34654,53805,53075,156738
38949,42041,41097,34651,53785,53041,156738
38899,42043,41108,34674,53790,53082,156724
38893,42015,41055,34609,53766,53025,156572
38994,41996,41048,34664,53815,53050,156702
38986,42035,41096,34645,53787,53068,156762
38968,41946,41100,34618,53744,53017,156632
38992,41997,41092,34605,53773,53086,156686
38966,42011,41131,34653,53836,53051,156761
38980,42041,41149,34658,53813,53105,156828
38973,42036,41135,34654,53844,53040,156798
38954,42085,41182,34643,53830,53085,156864
38955,42054,41113,34689,53800,53096,156811
38904,41968,41084,34595,53741,53032,156551
38957,41943,41136,34633,53775,53005,156669
38966,42095,41105,34693,53876,53097,156859
38982,42032,41103,34650,53810,53055,156767
38901,42067,41087,34638,53803,53053,156693
38927,41997,41079,34689,53751,53106,156692
38973,41995,41177,34690,53740,53122,156835
38983,41986,41096,34666,53771,53063,156731
38897,41983,41097,34627,53724,53028,156604
38881,41919,41060,34614,53712,52989,156474
38910,41945,41104,34653,53755,53037,156612
38951,41927,41133,34657,53744,53052,156668
38929,42009,41117,34645,53835,53060,156700
38913,41967,41118,34647,53793,53010,156645
38889,42018,41110,34662,53752,53105,156679
38955,42033,41111,34692,53794,53090,156791
38918,42078,41160,34618,53834,53099,156774
