taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38912,42085,41243,34690,53950,53164,156930
38866,42069,41302,34732,54001,53146,156969
38815,42177,41396,34735,54013,53186,157123
38735,42117,41455,34675,54033,53145,156982
38657,42139,41487,34679,54046,53119,156962
38559,42140,41523,34633,53992,53109,156855
38569,42191,41549,34653,54068,53120,156962
38498,42190,41512,34648,53992,53109,156848
38518,42321,41546,34769,54137,53186,157154
38531,42236,41617,34724,54076,53216,157108
38544,42290,41593,34710,54118,53203,157137
38439,42303,41484,34686,54073,53136,156912
38482,42340,41515,34728,54071,53215,157065
38478,42285,41391,34823,54045,53210,156977
38480,42405,41509,34836,54162,53276,157230
38425,42480,41362,34869,54112,53264,157136
38422,42508,41344,34918,54197,53254,157192
38429,42471,41300,34972,54164,53273,157172
38404,42522,41295,35075,54210,53297,157296
38368,42425,41219,35069,54127,53265,157081
38394,42480,41197,35194,54251,53309,157265
38410,42487,41200,35242,54228,53371,157339
38385,42353,41169,35259,54170,53296,157166
38407,42304,41165,35291,54168,53261,157167
38407,42289,41120,35286,54184,53231,157102
38415,42193,41148,35333,54131,53251,157089
38482,42238,41149,35394,54223,53335,157263
38556,42092,41133,35279,54113,53195,157060
38715,42102,41137,35237,54158,53217,157191
38853,42101,41136,35086,54125,53203,157176
39006,42120,41173,34903,54112,53241,157202
39062,42090,41189,34804,54041,53189,157145
39059,42139,41352,34760,54134,53230,157310
39007,42093,41393,34720,54065,53214,157213
38933,42187,41420,34769,54175,53209,157309
38835,42090,41426,34715,54046,53146,157066
38847,42123,41459,34663,54038,53150,157092
38774,42096,41500,34666,54032,53150,157036
38715,42183,41607,34673,54087,53189,157178
38623,42195,41530,34720,54056,53180,157068
38595,42249,41464,34751,54070,53187,157059
38494,42154,41352,34760,53981,53073,156760
38520,42218,41374,34779,54044,53136,156891
38512,42292,41449,34801,54107,53173,157054
38446,42381,41365,34830,54122,53162,157022
38465,42363,41306,34918,54118,53199,157052
38471,42370,41357,34843,54086,53234,157041
38466,42352,41245,34875,54038,53202,156938
38385,42298,41221,34928,53969,53186,156832
38392,42357,41198,35018,54101,53215,156965
38380,42313,41191,35099,54072,53268,156983
38371,42292,41178,35087,54018,53242,156928
38438,42383,41109,35173,54146,53276,157103
38352,42276,41142,35222,54124,53219,156992
38409,42159,41144,35212,54075,53172,156924
38402,42161,41108,35206,54036,53183,156877
38438,42161,41115,35246,54100,53213,156960
38546,42133,41097,35166,54070,53169,156942
38642,42056,41084,35140,54063,53161,156922
38704,42032,41102,35011,53952,53158,156849
38852,42052,41148,34905,54008,53162,156957
38848,42050,41175,34783,53937,53126,156856
38892,42190,41209,34834,54113,53180,157125
38912,42060,41283,34781,54063,53149,157036
38896,42086,41340,34765,54053,53160,157087
38846,42079,41372,34754,54100,53116,157051
38800,42161,41388,34746,54122,53162,157095
38684,42127,41419,34801,54119,53132,157031
38607,42211,41350,34826,54129,53094,156994
38583,42165,41343,34790,54094,53048,156881
38587,42185,41347,34829,54118,53100,156948
38476,42196,41244,34844,54110,53035,156760
38572,42216,41267,34861,54041,53120,156916
38477,42255,41271,34822,54034,53125,156825
38504,42352,41262,34917,54155,53154,157035
38470,42282,41179,34946,54041,53180,156877
38477,42336,41270,34969,54129,53203,157052
38465,42206,41231,34905,54008,53128,156807
38390,42221,41177,34901,53945,53151,156689
38388,42232,41139,34964,53929,53166,156723
38408,42180,41154,35031,53947,53181,156773
38428,42165,41141,35128,53992,53221,156862
38434,42217,41186,35127,54068,53236,156964
38453,42071,41147,35087,53961,53172,156758
38509,42131,41098,35053,53964,53153,156791
38505,42116,41140,35108,53975,53212,156869
38610,42045,41102,35104,53974,53190,156861
38721,42099,41122,35062,54047,53220,157004
38761,42038,41123,34914,53983,53127,156836
38800,42051,41139,34848,54049,53075,156838
38788,42060,41182,34757,53946,53068,156787
38804,42112,41228,34756,54054,53094,156900
38719,42122,41289,34781,54087,53088,156911
38668,42132,41317,34807,54132,53089,156924
38653,42075,41291,34766,54047,53010,156785
38601,42100,41269,34743,54054,52998,156713
38593,42158,41286,34832,54131,53031,156869
38539,42157,41320,34732,54046,53037,156748
