taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13461,14388,13811,15069,13346,16339,9887,53485,52534,11559,58800,45892
13435,14398,13773,15116,13348,16326,9945,53498,52566,11563,58785,45918
13434,14380,13784,15063,13354,16278,9893,53439,52504,11560,58716,45862
13419,14386,13790,15044,13334,16332,9874,53398,52481,11576,58707,45886
13423,14372,13773,15028,13340,16335,9890,53418,52475,11565,58700,45836
13411,14393,13761,15033,13363,16356,9906,53411,52541,11563,58781,45808
13407,14399,13739,15066,13334,16314,9879,53405,52452,11550,58696,45832
13378,14421,13729,15104,13361,16361,9967,53486,52530,11547,58747,45865
13393,14411,13722,15028,13351,16313,9900,53304,52480,11548,58667,45817
13384,14451,13721,15077,13366,16320,9933,53368,52592,11570,58723,45881
13376,14419,13733,15038,13366,16293,9938,53350,52522,11540,58654,45878
13372,14445,13721,15139,13351,16288,9901,53415,52520,11539,58664,45826
13354,14476,13723,15099,13387,16267,9919,53389,52533,11546,58670,45854
13376,14512,13719,15062,13417,16238,9956,53374,52635,11543,58682,45926
13361,14517,13681,15091,13448,16240,9958,53364,52647,11547,58746,45884
13349,14523,13707,15047,13445,16238,9943,53312,52637,11546,58682,45861
13361,14489,13702,14987,13467,16226,9894,53248,52581,11514,58680,45743
13374,14466,13721,15095,13489,16217,9939,53382,52619,11519,58695,45909
13358,14459,13714,15063,13486,16245,9936,53356,52611,11543,58740,45842
13356,14470,13707,15081,13533,16251,9957,53393,52658,11533,58778,45905
13368,14438,13715,15043,13539,16237,9953,53383,52660,11541,58742,45858
13387,14451,13717,15099,13582,16199,9967,53457,52689,11539,58803,45894
13375,14399,13750,15033,13565,16196,9963,53391,52629,11543,58758,45890
13389,14415,13740,15075,13579,16195,9911,53458,52591,11525,58777,45830
13412,14391,13745,15031,13569,16181,9918,53349,52629,11518,58803,45756
13416,14390,13760,15100,13534,16174,9953,53463,52620,11514,58751,45855
13446,14381,13783,15100,13503,16190,9933,53472,52611,11527,58776,45884
13451,14391,13774,14996,13501,16206,9920,53340,52628,11508,58784,45814
13469,14366,13799,14969,13428,16180,9920,53310,52551,11503,58739,45779
13486,14356,13836,14981,13410,16208,9896,53329,52542,11521,58761,45807
13509,14335,13844,15035,13356,16194,9889,53419,52490,11509,58709,45765
13478,14385,13817,15031,13368,16270,9892,53393,52526,11538,58780,45847
13462,14375,13802,15028,13365,16271,9858,53398,52518,11556,58756,45786
13452,14405,13812,15050,13367,16282,9913,53479,52584,11557,58762,45834
13458,14402,13780,15050,13329,16309,9851,53413,52506,11561,58734,45842
13417,14359,13783,15072,13343,16322,9889,53457,52457,11543,58703,45859
13397,14373,13769,15030,13350,16329,9867,53446,52409,11538,58727,45772
13424,14397,13761,15087,13339,16343,9931,53468,52557,11542,58729,45902
13402,14403,13755,15130,13358,16340,9931,53477,52544,11582,58763,45924
13379,14439,13727,15076,13382,16285,9912,53405,52526,11551,58681,45850
13395,14404,13722,15041,13350,16282,9909,53331,52472,11545,58611,45821
13386,14421,13704,15139,13353,16332,9918,53446,52540,11531,58718,45860
13367,14425,13720,15090,13357,16292,9925,53371,52496,11539,58631,45857
13372,14443,13704,15142,13377,16305,9926,53409,52535,11521,58698,45842
13373,14479,13704,15096,13411,16244,9936,53358,52607,11536,58713,45880
13349,14477,13698,15130,13415,16226,9892,53370,52549,11509,58667,45796
13356,14473,13684,15113,13445,16207,9910,53366,52543,11525,58644,45798
13356,14485,13692,15092,13473,16244,9933,53377,52611,11538,58702,45860
13374,14455,13711,15029,13501,16210,9937,53359,52607,11522,58692,45852
13387,14451,13706,15078,13545,16213,9916,53404,52639,11530,58753,45877
13368,14448,13719,15040,13516,16193,9934,53377,52613,11555,58699,45888
13384,14423,13703,15058,13583,16242,9942,53414,52651,11528,58806,45845
13366,14386,13714,15062,13569,16193,9887,53402,52529,11530,58717,45751
13390,14393,13716,14987,13560,16198,9884,53331,52540,11530,58732,45777
13380,14369,13740,15004,13544,16170,9910,53371,52485,11504,58671,45736
13420,14381,13786,15053,13535,16224,9964,53487,52594,11518,58828,45848
13434,14372,13803,14987,13500,16169,9919,53352,52562,11524,58735,45835
13433,14384,13813,15003,13478,16189,9944,53371,52590,11521,58737,45842
13450,14375,13847,14993,13439,16225,9931,53403,52543,11530,58754,45839
13436,14388,13856,15097,13437,16205,9905,53509,52507,11528,58796,45872
13472,14382,13866,15016,13383,16223,9931,53440,52527,11537,58772,45893
13441,14390,13869,15048,13391,16207,9906,53444,52526,11544,58784,45812
13435,14395,13882,15013,13353,16254,9905,53434,52532,11543,58776,45815
13466,14383,13883,15047,13355,16293,9906,53529,52540,11554,58773,45912
13434,14397,13845,15018,13345,16250,9867,53406,52479,11546,58717,45801
13437,14368,13851,15054,13339,16298,9810,53501,52430,11550,58761,45761
13433,14384,13816,14982,13344,16324,9829,53392,52457,11555,58757,45745
13430,14391,13796,15074,13334,16344,9879,53511,52519,11567,58755,45847
13413,14391,13762,14981,13315,16326,9803,53328,52445,11574,58657,45741
13380,14426,13749,15114,13328,16396,9847,53520,52490,11568,58756,45791
13378,14399,13750,15061,13350,16322,9880,53420,52462,11556,58656,45827
13375,14418,13719,15080,13343,16329,9860,53384,52442,11534,58692,45754
