taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38507,42218,41135,35147,54087,53241,157007
38516,42220,41154,35161,54145,53214,157051
38495,42219,41154,35207,54139,53219,157075
38488,42241,41172,35208,54133,53287,157109
38524,42198,41152,35172,54055,53258,157046
38521,42210,41173,35197,54142,53233,157101
38545,42235,41145,35176,54099,53253,157101
38476,42165,41253,35133,54040,53274,157027
38494,42188,41227,35138,54077,53252,157047
38535,42222,41216,35180,54133,53311,157153
38547,42196,41182,35104,54067,53260,157029
38536,42213,41170,35102,54087,53244,157021
38472,42188,41159,35093,54058,53234,156912
38531,42186,41207,35085,54074,53231,157009
38529,42212,41164,35093,54040,53283,156998
38537,42266,41173,35105,54141,53259,157081
38620,42299,41217,35043,54161,53278,157179
38611,42233,41240,34947,54125,53226,157031
38571,42215,41255,34845,54070,53107,156886
38689,42167,41281,34855,54071,53124,156992
38654,42187,41418,34838,54166,53133,157097
38624,42225,41446,34831,54160,53167,157126
38680,42183,41475,34772,54042,53181,157110
38690,42208,41510,34735,54139,53173,157143
38628,42205,41438,34716,54047,53133,156987
38657,42218,41516,34677,54120,53124,157068
38710,42148,41502,34728,54034,53154,157088
38723,42156,41564,34724,54056,53196,157167
38714,42156,41523,34698,54071,53164,157091
38720,42200,41584,34712,54150,53140,157216
38698,42186,41522,34723,54078,53225,157129
38709,42222,41545,34721,54147,53193,157197
38806,42242,41630,34714,54141,53283,157392
38752,42201,41620,34755,54166,53251,157328
38711,42191,41530,34671,54051,53224,157103
38625,42089,41506,34603,53892,53121,156823
38624,42089,41517,34621,53934,53119,156851
38657,42156,41507,34665,54032,53145,156985
38653,42139,41525,34638,54016,53138,156955
38712,42136,41493,34690,54039,53172,157031
38665,42164,41493,34649,53992,53157,156971
38610,42129,41490,34631,54028,53067,156860
38618,42188,41481,34670,54009,53143,156957
38634,42105,41447,34675,53931,53144,156861
38652,42125,41400,34722,54024,53090,156899
38647,42215,41442,34709,54085,53142,157013
38652,42202,41479,34727,54103,53133,157060
38669,42173,41434,34663,54031,53107,156939
38575,42133,41370,34659,53995,53031,156737
38659,42194,41397,34704,54068,53099,156954
