Format Version,1.0,
Take Name,Take 2024-01-12 07.03.45 PM,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,12 Jan 2024 19:03:46 +0800,
Total Frames In Take,902,
Total Exported Frames,902,
Coordinate Space,World,
Device Name,Manus_841e3a69 841e3a69_scaled,
Device Type,5,
Device Channel Count,105,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,T-MCP X,T-MCP Y,T-MCP Z,T-MCP W,T-MCP pX,T-MCP pY,T-MCP pZ,T-PIP X,T-PIP Y,T-PIP Z,T-PIP W,T-PIP pX,T-PIP pY,T-PIP pZ,T-DIP X,T-DIP Y,T-DIP Z,T-DIP W,T-DIP pX,T-DIP pY,T-DIP pZ,I-MCP X,I-MCP Y,I-MCP Z,I-MCP W,I-MCP pX,I-MCP pY,I-MCP pZ,I-PIP X,I-PIP Y,I-PIP Z,I-PIP W,I-PIP pX,I-PIP pY,I-PIP pZ,I-DIP X,I-DIP Y,I-DIP Z,I-DIP W,I-DIP pX,I-DIP pY,I-DIP pZ,M-MCP X,M-MCP Y,M-MCP Z,M-MCP W,M-MCP pX,M-MCP pY,M-MCP pZ,M-PIP X,M-PIP Y,M-PIP Z,M-PIP W,M-PIP pX,M-PIP pY,M-PIP pZ,M-DIP X,M-DIP Y,M-DIP Z,M-DIP W,M-DIP pX,M-DIP pY,M-DIP pZ,R-MCP X,R-MCP Y,R-MCP Z,R-MCP W,R-MCP pX,R-MCP pY,R-MCP pZ,R-PIP X,R-PIP Y,R-PIP Z,R-PIP W,R-PIP pX,R-PIP pY,R-PIP pZ,R-DIP X,R-DIP Y,R-DIP Z,R-DIP W,R-DIP pX,R-DIP pY,R-DIP pZ,P-MCP X,P-MCP Y,P-MCP Z,P-MCP W,P-MCP pX,P-MCP pY,P-MCP pZ,P-PIP X,P-PIP Y,P-PIP Z,P-PIP W,P-PIP pX,P-PIP pY,P-PIP pZ,P-DIP X,P-DIP Y,P-DIP Z,P-DIP W,P-DIP pX,P-DIP pY,P-DIP pZ
0,0.000000,0,-0.829580,-0.176076,0.503469,0.164757,-0.020913,-0.023765,0.033281,-0.709792,0.081607,-0.477560,0.511290,-0.031638,-0.000015,-0.000008,-0.902444,-0.377878,-0.203875,-0.035432,-0.026966,0.000004,-0.000001,-0.930882,-0.142012,0.044081,0.333682,-0.071122,0.000331,0.038520,-0.602091,0.002750,0.248478,0.758773,-0.047502,-0.000002,0.000001,-0.824990,0.001697,0.170533,0.538802,-0.023750,0.000000,0.000000,-0.788403,0.005298,0.013016,0.614984,-0.071121,0.000110,0.012841,-0.693117,-0.001006,0.008574,0.720773,-0.052252,-0.000001,0.000001,-0.832333,0.000493,0.009263,0.554199,-0.028500,0.000000,0.000000,-0.809511,-0.012051,0.022592,0.586546,-0.068086,-0.000112,-0.012841,-0.617659,-0.003151,0.021486,0.786146,-0.047502,0.000001,0.000002,-0.839148,-0.004222,0.020627,0.543495,-0.023748,-0.000000,-0.000001,-0.861739,0.122720,-0.049456,0.489796,-0.066568,-0.000335,-0.038520,-0.601941,-0.002919,-0.226597,0.765711,-0.038001,0.000001,0.000002,-0.833421,-0.003958,-0.151527,0.531445,-0.018999,0.000000,-0.000000
1,0.008000,1,-0.829639,-0.176057,0.503414,0.164741,-0.020914,-0.023765,0.033277,-0.709495,0.081726,-0.477760,0.511496,-0.031639,-0.000009,-0.000009,-0.902447,-0.377850,-0.203794,-0.036134,-0.026966,0.000004,-0.000001,-0.930735,-0.142043,0.044173,0.334082,-0.071116,0.000335,0.038517,-0.602252,0.002763,0.248430,0.758662,-0.047498,0.000003,-0.000002,-0.824925,0.001693,0.170531,0.538901,-0.023750,-0.000000,0.000000,-0.788299,0.005292,0.013025,0.615151,-0.071113,0.000114,0.012838,-0.693120,-0.001003,0.008575,0.720770,-0.052248,0.000001,-0.000001,-0.832343,0.000489,0.009252,0.554183,-0.028500,0.000000,-0.000000,-0.809467,-0.012032,0.022557,0.586608,-0.068077,-0.000111,-0.012838,-0.617620,-0.003154,0.021499,0.786177,-0.047497,-0.000001,-0.000002,-0.839133,-0.004226,0.020642,0.543518,-0.023753,0.000000,0.000001,-0.861687,0.122709,-0.049472,0.489888,-0.066559,-0.000334,-0.038517,-0.601970,-0.002920,-0.226587,0.765691,-0.037999,-0.000002,-0.000002,-0.833438,-0.003959,-0.151516,0.531421,-0.019002,-0.000000,0.000001
2,0.017000,2,-0.829639,-0.176057,0.503414,0.164741,-0.020914,-0.023765,0.033277,-0.709495,0.081726,-0.477760,0.511496,-0.031639,-0.000009,-0.000009,-0.902447,-0.377850,-0.203794,-0.036134,-0.026966,0.000004,-0.000001,-0.930735,-0.142043,0.044173,0.334082,-0.071116,0.000335,0.038517,-0.602252,0.002763,0.248430,0.758662,-0.047498,0.000003,-0.000002,-0.824925,0.001693,0.170531,0.538901,-0.023750,-0.000000,0.000000,-0.788299,0.005292,0.013025,0.615151,-0.071113,0.000114,0.012838,-0.693120,-0.001003,0.008575,0.720770,-0.052248,0.000001,-0.000001,-0.832343,0.000489,0.009252,0.554183,-0.028500,0.000000,-0.000000,-0.809467,-0.012032,0.022557,0.586608,-0.068077,-0.000111,-0.012838,-0.617620,-0.003154,0.021499,0.786177,-0.047497,-0.000001,-0.000002,-0.839133,-0.004226,0.020642,0.543518,-0.023753,0.000000,0.000001,-0.861687,0.122709,-0.049472,0.489888,-0.066559,-0.000334,-0.038517,-0.601970,-0.002920,-0.226587,0.765691,-0.037999,-0.000002,-0.000002,-0.833438,-0.003959,-0.151516,0.531421,-0.019002,-0.000000,0.000001
3,0.025000,3,-0.829639,-0.176057,0.503414,0.164741,-0.020914,-0.023765,0.033277,-0.709495,0.081726,-0.477760,0.511496,-0.031639,-0.000009,-0.000009,-0.902447,-0.377850,-0.203794,-0.036134,-0.026966,0.000004,-0.000001,-0.930735,-0.142043,0.044173,0.334082,-0.071116,0.000335,0.038517,-0.602252,0.002763,0.248430,0.758662,-0.047498,0.000003,-0.000002,-0.824925,0.001693,0.170531,0.538901,-0.023750,-0.000000,0.000000,-0.788299,0.005292,0.013025,0.615151,-0.071113,0.000114,0.012838,-0.693120,-0.001003,0.008575,0.720770,-0.052248,0.000001,-0.000001,-0.832343,0.000489,0.009252,0.554183,-0.028500,0.000000,-0.000000,-0.809467,-0.012032,0.022557,0.586608,-0.068077,-0.000111,-0.012838,-0.617620,-0.003154,0.021499,0.786177,-0.047497,-0.000001,-0.000002,-0.839133,-0.004226,0.020642,0.543518,-0.023753,0.000000,0.000001,-0.861687,0.122709,-0.049472,0.489888,-0.066559,-0.000334,-0.038517,-0.601970,-0.002920,-0.226587,0.765691,-0.037999,-0.000002,-0.000002,-0.833438,-0.003959,-0.151516,0.531421,-0.019002,-0.000000,0.000001
4,0.033000,4,-0.829639,-0.176057,0.503414,0.164741,-0.020914,-0.023765,0.033277,-0.709495,0.081726,-0.477760,0.511496,-0.031639,-0.000009,-0.000009,-0.902447,-0.377850,-0.203794,-0.036134,-0.026966,0.000004,-0.000001,-0.930735,-0.142043,0.044173,0.334082,-0.071116,0.000335,0.038517,-0.602252,0.002763,0.248430,0.758662,-0.047498,0.000003,-0.000002,-0.824925,0.001693,0.170531,0.538901,-0.023750,-0.000000,0.000000,-0.788299,0.005292,0.013025,0.615151,-0.071113,0.000114,0.012838,-0.693120,-0.001003,0.008575,0.720770,-0.052248,0.000001,-0.000001,-0.832343,0.000489,0.009252,0.554183,-0.028500,0.000000,-0.000000,-0.809467,-0.012032,0.022557,0.586608,-0.068077,-0.000111,-0.012838,-0.617620,-0.003154,0.021499,0.786177,-0.047497,-0.000001,-0.000002,-0.839133,-0.004226,0.020642,0.543518,-0.023753,0.000000,0.000001,-0.861687,0.122709,-0.049472,0.489888,-0.066559,-0.000334,-0.038517,-0.601970,-0.002920,-0.226587,0.765691,-0.037999,-0.000002,-0.000002,-0.833438,-0.003959,-0.151516,0.531421,-0.019002,-0.000000,0.000001
5,0.042000,5,-0.829621,-0.176500,0.503356,0.164471,-0.020913,-0.023765,0.033280,-0.709321,0.081712,-0.477918,0.511592,-0.031638,-0.000013,-0.000008,-0.902511,-0.377835,-0.203415,-0.036797,-0.026966,0.000004,-0.000001,-0.930660,-0.142096,0.044258,0.334246,-0.071120,0.000332,0.038519,-0.602597,0.002778,0.248381,0.758404,-0.047501,-0.000001,0.000001,-0.824699,0.001669,0.170633,0.539215,-0.023750,0.000000,0.000000,-0.788537,0.005385,0.012993,0.614821,-0.071119,0.000111,0.012840,-0.693112,-0.001013,0.008567,0.720778,-0.052251,-0.000000,0.000000,-0.832088,0.000499,0.009281,0.554566,-0.028500,0.000000,0.000000,-0.809447,-0.012036,0.022559,0.586635,-0.068083,-0.000112,-0.012840,-0.617624,-0.003156,0.021509,0.786173,-0.047501,0.000000,0.000001,-0.839132,-0.004229,0.020655,0.543519,-0.023749,-0.000000,-0.000000,-0.861748,0.122719,-0.049452,0.489781,-0.066566,-0.000334,-0.038519,-0.601924,-0.002920,-0.226598,0.765723,-0.038000,0.000001,0.000001,-0.833418,-0.003958,-0.151525,0.531449,-0.018999,0.000000,-0.000000
6,0.050000,6,-0.829621,-0.176500,0.503356,0.164471,-0.020913,-0.023765,0.033280,-0.709321,0.081712,-0.477918,0.511592,-0.031638,-0.000013,-0.000008,-0.902511,-0.377835,-0.203415,-0.036797,-0.026966,0.000004,-0.000001,-0.930660,-0.142096,0.044258,0.334246,-0.071120,0.000332,0.038519,-0.602597,0.002778,0.248381,0.758404,-0.047501,-0.000001,0.000001,-0.824699,0.001669,0.170633,0.539215,-0.023750,0.000000,0.000000,-0.788537,0.005385,0.012993,0.614821,-0.071119,0.000111,0.012840,-0.693112,-0.001013,0.008567,0.720778,-0.052251,-0.000000,0.000000,-0.832088,0.000499,0.009281,0.554566,-0.028500,0.000000,0.000000,-0.809447,-0.012036,0.022559,0.586635,-0.068083,-0.000112,-0.012840,-0.617624,-0.003156,0.021509,0.786173,-0.047501,0.000000,0.000001,-0.839132,-0.004229,0.020655,0.543519,-0.023749,-0.000000,-0.000000,-0.861748,0.122719,-0.049452,0.489781,-0.066566,-0.000334,-0.038519,-0.601924,-0.002920,-0.226598,0.765723,-0.038000,0.000001,0.000001,-0.833418,-0.003958,-0.151525,0.531449,-0.018999,0.000000,-0.000000
7,0.058000,7,-0.829599,-0.176440,0.503416,0.164459,-0.020913,-0.023765,0.033280,-0.709382,0.081687,-0.477868,0.511557,-0.031638,-0.000013,-0.000008,-0.902504,-0.377844,-0.203473,-0.036572,-0.026966,0.000004,-0.000001,-0.930663,-0.142092,0.044258,0.334240,-0.071120,0.000332,0.038519,-0.602580,0.002777,0.248383,0.758417,-0.047501,-0.000001,0.000001,-0.824715,0.001671,0.170626,0.539193,-0.023750,0.000000,0.000000,-0.788473,0.005363,0.012999,0.614903,-0.071119,0.000111,0.012840,-0.693092,-0.001011,0.008568,0.720797,-0.052251,-0.000000,0.000000,-0.832162,0.000497,0.009274,0.554456,-0.028500,0.000000,-0.000000,-0.809475,-0.012044,0.022575,0.586597,-0.068083,-0.000112,-0.012840,-0.617637,-0.003154,0.021498,0.786163,-0.047501,0.000000,0.000001,-0.839137,-0.004226,0.020642,0.543511,-0.023749,-0.000000,-0.000000,-0.861749,0.122720,-0.049452,0.489779,-0.066566,-0.000334,-0.038519,-0.601925,-0.002920,-0.226598,0.765723,-0.038000,0.000001,0.000001,-0.833417,-0.003959,-0.151526,0.531451,-0.019000,0.000000,-0.000000
8,0.067000,8,-0.829599,-0.176440,0.503416,0.164459,-0.020913,-0.023765,0.033280,-0.709382,0.081687,-0.477868,0.511557,-0.031638,-0.000013,-0.000008,-0.902504,-0.377844,-0.203473,-0.036572,-0.026966,0.000004,-0.000001,-0.930663,-0.142092,0.044258,0.334240,-0.071120,0.000332,0.038519,-0.602580,0.002777,0.248383,0.758417,-0.047501,-0.000001,0.000001,-0.824715,0.001671,0.170626,0.539193,-0.023750,0.000000,0.000000,-0.788473,0.005363,0.012999,0.614903,-0.071119,0.000111,0.012840,-0.693092,-0.001011,0.008568,0.720797,-0.052251,-0.000000,0.000000,-0.832162,0.000497,0.009274,0.554456,-0.028500,0.000000,-0.000000,-0.809475,-0.012044,0.022575,0.586597,-0.068083,-0.000112,-0.012840,-0.617637,-0.003154,0.021498,0.786163,-0.047501,0.000000,0.000001,-0.839137,-0.004226,0.020642,0.543511,-0.023749,-0.000000,-0.000000,-0.861749,0.122720,-0.049452,0.489779,-0.066566,-0.000334,-0.038519,-0.601925,-0.002920,-0.226598,0.765723,-0.038000,0.000001,0.000001,-0.833417,-0.003959,-0.151526,0.531451,-0.019000,0.000000,-0.000000
9,0.075000,9,-0.829601,-0.176359,0.503461,0.164443,-0.020914,-0.023765,0.033278,-0.709327,0.081723,-0.477892,0.511607,-0.031639,-0.000011,-0.000009,-0.902490,-0.377839,-0.203535,-0.036621,-0.026966,0.000004,-0.000001,-0.930631,-0.142098,0.044273,0.334330,-0.071117,0.000334,0.038518,-0.602615,0.002782,0.248362,0.758396,-0.047499,0.000002,-0.000001,-0.824715,0.001673,0.170606,0.539200,-0.023750,-0.000000,-0.000000,-0.788367,0.005340,0.013008,0.615055,-0.071115,0.000113,0.012839,-0.693085,-0.001007,0.008569,0.720804,-0.052249,0.000000,-0.000000,-0.832236,0.000495,0.009265,0.554344,-0.028500,0.000000,-0.000000,-0.809528,-0.012063,0.022607,0.586522,-0.068079,-0.000111,-0.012839,-0.617314,-0.003153,0.021507,0.786417,-0.047499,-0.000001,-0.000001,-0.838996,-0.004226,0.020651,0.543729,-0.023752,0.000000,0.000001,-0.861861,0.122733,-0.049404,0.489583,-0.066561,-0.000334,-0.038518,-0.601851,-0.002919,-0.226615,0.765776,-0.037999,-0.000001,-0.000001,-0.833379,-0.003958,-0.151544,0.531506,-0.019001,-0.000000,0.000000
