Format Version,1.0,
Take Name,Take 2024-01-12 06.57.43 PM,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,12 Jan 2024 18:57:44 +0800,
Total Frames In Take,2080,
Total Exported Frames,2080,
Coordinate Space,World,
Device Name,Manus_716d3b04 716d3b04_scaled,
Device Type,5,
Device Channel Count,105,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,T-MCP X,T-MCP Y,T-MCP Z,T-MCP W,T-MCP pX,T-MCP pY,T-MCP pZ,T-PIP X,T-PIP Y,T-PIP Z,T-PIP W,T-PIP pX,T-PIP pY,T-PIP pZ,T-DIP X,T-DIP Y,T-DIP Z,T-DIP W,T-DIP pX,T-DIP pY,T-DIP pZ,I-MCP X,I-MCP Y,I-MCP Z,I-MCP W,I-MCP pX,I-MCP pY,I-MCP pZ,I-PIP X,I-PIP Y,I-PIP Z,I-PIP W,I-PIP pX,I-PIP pY,I-PIP pZ,I-DIP X,I-DIP Y,I-DIP Z,I-DIP W,I-DIP pX,I-DIP pY,I-DIP pZ,M-MCP X,M-MCP Y,M-MCP Z,M-MCP W,M-MCP pX,M-MCP pY,M-MCP pZ,M-PIP X,M-PIP Y,M-PIP Z,M-PIP W,M-PIP pX,M-PIP pY,M-PIP pZ,M-DIP X,M-DIP Y,M-DIP Z,M-DIP W,M-DIP pX,M-DIP pY,M-DIP pZ,R-MCP X,R-MCP Y,R-MCP Z,R-MCP W,R-MCP pX,R-MCP pY,R-MCP pZ,R-PIP X,R-PIP Y,R-PIP Z,R-PIP W,R-PIP pX,R-PIP pY,R-PIP pZ,R-DIP X,R-DIP Y,R-DIP Z,R-DIP W,R-DIP pX,R-DIP pY,R-DIP pZ,P-MCP X,P-MCP Y,P-MCP Z,P-MCP W,P-MCP pX,P-MCP pY,P-MCP pZ,P-PIP X,P-PIP Y,P-PIP Z,P-PIP W,P-PIP pX,P-PIP pY,P-PIP pZ,P-DIP X,P-DIP Y,P-DIP Z,P-DIP W,P-DIP pX,P-DIP pY,P-DIP pZ
10,0.083000,10,0.766329,0.362181,-0.526340,-0.067306,0.020897,-0.023753,0.033250,0.961267,-0.000127,0.195343,-0.194426,0.031635,-0.000001,-0.000000,0.858668,0.355859,0.141574,-0.340643,0.026982,0.000001,-0.000001,0.874976,0.134625,-0.121728,-0.448861,0.072220,0.000490,0.038437,0.968041,0.036418,-0.095774,-0.228904,0.047494,-0.000001,-0.000001,0.957783,0.060096,-0.112789,-0.257525,0.023747,0.000003,-0.000001,0.849968,-0.021059,-0.075159,-0.521020,0.072220,0.000158,0.012814,0.986384,0.026262,-0.012387,-0.161875,0.052243,-0.000003,0.000000,0.990390,0.032019,-0.010763,-0.134116,0.028498,0.000003,-0.000001,0.889129,-0.049654,-0.053971,-0.451743,0.067694,-0.000173,-0.012810,0.994132,-0.024599,0.005943,-0.105169,0.047494,-0.000002,0.000000,0.997440,-0.024681,0.007095,-0.066731,0.023749,0.000003,-0.000000,0.891561,-0.158253,-0.011907,-0.424186,0.065431,-0.000505,-0.038433,0.996562,0.015816,0.020023,-0.078818,0.037995,-0.000002,0.000000,0.998533,0.015847,0.011151,-0.050569,0.018999,0.000003,-0.000000
11,0.092000,11,0.766332,0.362180,-0.526337,-0.067314,0.020898,-0.023752,0.033250,0.961267,-0.000127,0.195343,-0.194427,0.031635,-0.000001,-0.000000,0.858670,0.355860,0.141573,-0.340639,0.026982,0.000001,-0.000001,0.874949,0.134610,-0.121754,-0.448910,0.072220,0.000493,0.038436,0.968044,0.036413,-0.095766,-0.228895,0.047495,-0.000001,-0.000001,0.957780,0.060084,-0.112791,-0.257537,0.023748,0.000002,-0.000001,0.849948,-0.021181,-0.075273,-0.521031,0.072220,0.000161,0.012813,0.986370,0.026270,-0.012387,-0.161957,0.052245,-0.000002,0.000000,0.990361,0.032048,-0.010762,-0.134322,0.028499,0.000002,-0.000000,0.889045,-0.049770,-0.054100,-0.451879,0.067693,-0.000171,-0.012810,0.994134,-0.024608,0.005945,-0.105155,0.047496,-0.000002,0.000000,0.997441,-0.024690,0.007097,-0.066722,0.023749,0.000002,-0.000000,0.891104,-0.158249,-0.012095,-0.425141,0.065430,-0.000503,-0.038433,0.996691,0.015929,0.019602,-0.077267,0.037996,-0.000001,0.000000,0.998583,0.015959,0.010903,-0.049574,0.018999,0.000002,-0.000000
12,0.100000,12,0.766332,0.362180,-0.526337,-0.067314,0.020898,-0.023752,0.033250,0.961267,-0.000127,0.195343,-0.194427,0.031635,-0.000001,-0.000000,0.858670,0.355860,0.141573,-0.340639,0.026982,0.000001,-0.000001,0.874949,0.134610,-0.121754,-0.448910,0.072220,0.000493,0.038436,0.968044,0.036413,-0.095766,-0.228895,0.047495,-0.000001,-0.000001,0.957780,0.060084,-0.112791,-0.257537,0.023748,0.000002,-0.000001,0.849948,-0.021181,-0.075273,-0.521031,0.072220,0.000161,0.012813,0.986370,0.026270,-0.012387,-0.161957,0.052245,-0.000002,0.000000,0.990361,0.032048,-0.010762,-0.134322,0.028499,0.000002,-0.000000,0.889045,-0.049770,-0.054100,-0.451879,0.067693,-0.000171,-0.012810,0.994134,-0.024608,0.005945,-0.105155,0.047496,-0.000002,0.000000,0.997441,-0.024690,0.007097,-0.066722,0.023749,0.000002,-0.000000,0.891104,-0.158249,-0.012095,-0.425141,0.065430,-0.000503,-0.038433,0.996691,0.015929,0.019602,-0.077267,0.037996,-0.000001,0.000000,0.998583,0.015959,0.010903,-0.049574,0.018999,0.000002,-0.000000
13,0.108000,13,0.766340,0.362201,-0.526303,-0.067364,0.020900,-0.023750,0.033250,0.961271,-0.000127,0.195334,-0.194417,0.031635,-0.000000,-0.000000,0.858683,0.355866,0.141559,-0.340605,0.026981,0.000001,-0.000001,0.874927,0.134567,-0.121793,-0.448955,0.072220,0.000498,0.038435,0.968021,0.036399,-0.095794,-0.228983,0.047499,-0.000000,-0.000000,0.957740,0.060068,-0.112847,-0.257667,0.023750,0.000000,-0.000000,0.849987,-0.021181,-0.075275,-0.520968,0.072220,0.000165,0.012812,0.986352,0.026285,-0.012397,-0.162064,0.052249,-0.000000,0.000000,0.990340,0.032077,-0.010773,-0.134470,0.028500,0.000000,-0.000000,0.889104,-0.049748,-0.054006,-0.451778,0.067693,-0.000167,-0.012811,0.994116,-0.024646,0.005966,-0.105314,0.047499,-0.000000,0.000000,0.997433,-0.024728,0.007121,-0.066822,0.023750,0.000000,-0.000000,0.891331,-0.158045,-0.011932,-0.424746,0.065429,-0.000499,-0.038435,0.996664,0.015968,0.019672,-0.077584,0.037999,-0.000000,0.000000,0.998572,0.015999,0.010938,-0.049779,0.019000,0.000000,-0.000000
14,0.117000,14,0.766340,0.362201,-0.526303,-0.067364,0.020900,-0.023750,0.033250,0.961271,-0.000127,0.195334,-0.194417,0.031635,-0.000000,-0.000000,0.858683,0.355866,0.141559,-0.340605,0.026981,0.000001,-0.000001,0.874927,0.134567,-0.121793,-0.448955,0.072220,0.000498,0.038435,0.968021,0.036399,-0.095794,-0.228983,0.047499,-0.000000,-0.000000,0.957740,0.060068,-0.112847,-0.257667,0.023750,0.000000,-0.000000,0.849987,-0.021181,-0.075275,-0.520968,0.072220,0.000165,0.012812,0.986352,0.026285,-0.012397,-0.162064,0.052249,-0.000000,0.000000,0.990340,0.032077,-0.010773,-0.134470,0.028500,0.000000,-0.000000,0.889104,-0.049748,-0.054006,-0.451778,0.067693,-0.000167,-0.012811,0.994116,-0.024646,0.005966,-0.105314,0.047499,-0.000000,0.000000,0.997433,-0.024728,0.007121,-0.066822,0.023750,0.000000,-0.000000,0.891331,-0.158045,-0.011932,-0.424746,0.065429,-0.000499,-0.038435,0.996664,0.015968,0.019672,-0.077584,0.037999,-0.000000,0.000000,0.998572,0.015999,0.010938,-0.049779,0.019000,0.000000,-0.000000
15,0.125000,15,0.766342,0.362202,-0.526302,-0.067345,0.020901,-0.023749,0.033250,0.961270,-0.000126,0.195336,-0.194420,0.031635,0.000000,0.000000,0.858681,0.355865,0.141560,-0.340610,0.026981,0.000001,-0.000000,0.874791,0.134490,-0.121948,-0.449202,0.072220,0.000501,0.038434,0.968061,0.036389,-0.095717,-0.228850,0.047502,0.000000,0.000000,0.957749,0.060024,-0.112821,-0.257654,0.023751,-0.000001,0.000000,0.850011,-0.021206,-0.075260,-0.520930,0.072220,0.000168,0.012811,0.986317,0.026277,-0.012411,-0.162280,0.052252,0.000001,-0.000000,0.990311,0.032079,-0.010786,-0.134679,0.028501,-0.000001,0.000000,0.889081,-0.049812,-0.054026,-0.451813,0.067693,-0.000164,-0.012812,0.994105,-0.024678,0.005981,-0.105405,0.047502,0.000001,-0.000000,0.997428,-0.024760,0.007138,-0.066878,0.023750,-0.000001,0.000000,0.891330,-0.158045,-0.012028,-0.424744,0.065429,-0.000497,-0.038435,0.996659,0.016034,0.019667,-0.077629,0.038001,0.000000,-0.000000,0.998570,0.016065,0.010927,-0.049809,0.019000,-0.000001,0.000000
16,0.133000,16,0.766342,0.362202,-0.526302,-0.067345,0.020901,-0.023749,0.033250,0.961270,-0.000126,0.195336,-0.194420,0.031635,0.000000,0.000000,0.858681,0.355865,0.141560,-0.340610,0.026981,0.000001,-0.000000,0.874791,0.134490,-0.121948,-0.449202,0.072220,0.000501,0.038434,0.968061,0.036389,-0.095717,-0.228850,0.047502,0.000000,0.000000,0.957749,0.060024,-0.112821,-0.257654,0.023751,-0.000001,0.000000,0.850011,-0.021206,-0.075260,-0.520930,0.072220,0.000168,0.012811,0.986317,0.026277,-0.012411,-0.162280,0.052252,0.000001,-0.000000,0.990311,0.032079,-0.010786,-0.134679,0.028501,-0.000001,0.000000,0.889081,-0.049812,-0.054026,-0.451813,0.067693,-0.000164,-0.012812,0.994105,-0.024678,0.005981,-0.105405,0.047502,0.000001,-0.000000,0.997428,-0.024760,0.007138,-0.066878,0.023750,-0.000001,0.000000,0.891330,-0.158045,-0.012028,-0.424744,0.065429,-0.000497,-0.038435,0.996659,0.016034,0.019667,-0.077629,0.038001,0.000000,-0.000000,0.998570,0.016065,0.010927,-0.049809,0.019000,-0.000001,0.000000
17,0.142000,17,0.766345,0.362206,-0.526294,-0.067347,0.020900,-0.023750,0.033250,0.961270,-0.000126,0.195335,-0.194420,0.031635,0.000000,-0.000000,0.858685,0.355867,0.141557,-0.340601,0.026981,0.000001,-0.000000,0.874836,0.134472,-0.121899,-0.449133,0.072220,0.000499,0.038435,0.967820,0.036412,-0.096139,-0.229686,0.047500,0.000000,-0.000000,0.957528,0.060094,-0.113279,-0.258256,0.023750,0.000000,-0.000000,0.849988,-0.021205,-0.075264,-0.520967,0.072220,0.000166,0.012812,0.986324,0.026279,-0.012408,-0.162237,0.052250,-0.000000,0.000000,0.990316,0.032079,-0.010783,-0.134642,0.028500,0.000000,-0.000000,0.889063,-0.049825,-0.054163,-0.451830,0.067693,-0.000166,-0.012812,0.994121,-0.024613,0.005953,-0.105273,0.047500,-0.000000,-0.000000,0.997436,-0.024695,0.007107,-0.066796,0.023750,0.000000,-0.000000,0.891252,-0.158123,-0.012102,-0.424877,0.065429,-0.000499,-0.038435,0.996664,0.016031,0.019655,-0.077577,0.038000,-0.000000,0.000000,0.998572,0.016061,0.010920,-0.049775,0.019000,0.000000,-0.000000
18,0.150000,18,0.766345,0.362206,-0.526294,-0.067347,0.020900,-0.023750,0.033250,0.961270,-0.000126,0.195335,-0.194420,0.031635,0.000000,-0.000000,0.858685,0.355867,0.141557,-0.340601,0.026981,0.000001,-0.000000,0.874836,0.134472,-0.121899,-0.449133,0.072220,0.000499,0.038435,0.967820,0.036412,-0.096139,-0.229686,0.047500,0.000000,-0.000000,0.957528,0.060094,-0.113279,-0.258256,0.023750,0.000000,-0.000000,0.849988,-0.021205,-0.075264,-0.520967,0.072220,0.000166,0.012812,0.986324,0.026279,-0.012408,-0.162237,0.052250,-0.000000,0.000000,0.990316,0.032079,-0.010783,-0.134642,0.028500,0.000000,-0.000000,0.889063,-0.049825,-0.054163,-0.451830,0.067693,-0.000166,-0.012812,0.994121,-0.024613,0.005953,-0.105273,0.047500,-0.000000,-0.000000,0.997436,-0.024695,0.007107,-0.066796,0.023750,0.000000,-0.000000,0.891252,-0.158123,-0.012102,-0.424877,0.065429,-0.000499,-0.038435,0.996664,0.016031,0.019655,-0.077577,0.038000,-0.000000,0.000000,0.998572,0.016061,0.010920,-0.049775,0.019000,0.000000,-0.000000
19,0.158000,19,0.766345,0.362206,-0.526294,-0.067347,0.020900,-0.023750,0.033250,0.961270,-0.000126,0.195335,-0.194420,0.031635,0.000000,-0.000000,0.858685,0.355867,0.141557,-0.340601,0.026981,0.000001,-0.000000,0.874836,0.134472,-0.121899,-0.449133,0.072220,0.000499,0.038435,0.967820,0.036412,-0.096139,-0.229686,0.047500,0.000000,-0.000000,0.957528,0.060094,-0.113279,-0.258256,0.023750,0.000000,-0.000000,0.849988,-0.021205,-0.075264,-0.520967,0.072220,0.000166,0.012812,0.986324,0.026279,-0.012408,-0.162237,0.052250,-0.000000,0.000000,0.990316,0.032079,-0.010783,-0.134642,0.028500,0.000000,-0.000000,0.889063,-0.049825,-0.054163,-0.451830,0.067693,-0.000166,-0.012812,0.994121,-0.024613,0.005953,-0.105273,0.047500,-0.000000,-0.000000,0.997436,-0.024695,0.007107,-0.066796,0.023750,0.000000,-0.000000,0.891252,-0.158123,-0.012102,-0.424877,0.065429,-0.000499,-0.038435,0.996664,0.016031,0.019655,-0.077577,0.038000,-0.000000,0.000000,0.998572,0.016061,0.010920,-0.049775,0.019000,0.000000,-0.000000
