taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39434,42674,41591,35376,54760,53751,159075
39388,42673,41516,35348,54705,53752,158925
39378,42607,41571,35364,54708,53688,158920
39380,42553,41548,35303,54604,53731,158784
39356,42563,41585,35265,54595,53700,158769
39362,42543,41576,35328,54650,53676,158809
39360,42610,41469,35316,54613,53737,158755
39342,42559,41507,35288,54588,53703,158696
39355,42581,41555,35357,54644,53726,158848
39383,42588,41497,35342,54663,53712,158810
39383,42522,41494,35313,54570,53699,158712
39364,42574,41476,35291,54604,53722,158705
39356,42618,41481,35360,54626,53762,158815
39396,42506,41520,35319,54625,53703,158741
39413,42597,41520,35345,54657,53791,158875
39349,42517,41489,35256,54556,53682,158611
39380,42528,41519,35309,54641,53675,158736
39396,42628,41553,35316,54633,53781,158893
39445,42682,41587,35388,54744,53844,159102
39466,42633,41563,35397,54729,53801,159059
39423,42617,41613,35349,54718,53746,159002
39436,42642,41562,35371,54738,53774,159011
39391,42595,41492,35363,54662,53702,158841
39412,42611,41498,35311,54673,53703,158832
39497,42678,41630,35361,54786,53829,159166
39396,42605,41648,35341,54634,53784,158990
39465,42668,41526,35416,54763,53832,159075
39359,42522,41490,35433,54673,53675,158804
39395,42646,41611,35338,54710,53764,158990
39377,42556,41503,35296,54614,53679,158732
39387,42714,41518,35413,54748,53759,159032
39387,42564,41502,35341,54626,53714,158794
39446,42712,41574,35386,54822,53775,159118
39348,42589,41542,35355,54656,53700,158834
39462,42532,41569,35387,54674,53743,158950
39415,42585,41530,35307,54628,53719,158837
39416,42680,41550,35389,54725,53801,159035
39363,42560,41495,35330,54669,53628,158748
39371,42711,41554,35335,54724,53723,158971
39365,42558,41486,35316,54592,53690,158725
39436,42631,41578,35352,54677,53802,158997
39416,42567,41616,35329,54682,53724,158928
39425,42668,41613,35380,54756,53804,159086
39448,42698,41603,35397,54759,53836,159146
39429,42670,41610,35392,54799,53791,159101
39399,42690,41540,35341,54688,53775,158970
39448,42626,41621,35379,54727,53796,159074
39460,42680,41647,35366,54770,53763,159153
39483,42725,41567,35397,54766,53833,159172
39419,42643,41573,35378,54701,53760,159013
39412,42704,41567,35390,54713,53812,159073
39461,42596,41588,35310,54679,53708,158955
39457,42639,41583,35364,54713,53779,159043
39449,42606,41594,35337,54733,53720,158986
39456,42563,41567,35368,54656,53760,158954
39448,42629,41603,35402,54762,53782,159082
39430,42661,41578,35357,54730,53732,159026
39494,42593,41576,35348,54656,53758,159011
39449,42590,41592,35326,54732,53709,158957
39425,42560,41623,35362,54706,53709,158970
39516,42638,41585,35387,54772,53794,159126
39482,42627,41581,35382,54713,53817,159072
39449,42617,41580,35325,54678,53786,158971
39418,42632,41566,35348,54687,53786,158964
39452,42635,41637,35343,54712,53750,159067
39381,42576,41542,35340,54634,53701,158839
39488,42559,41604,35372,54662,53766,159023
39438,42633,41594,35316,54660,53789,158981
39475,42631,41606,35354,54712,53783,159066
39377,42702,41595,35336,54709,53794,159010
39450,42678,41610,35354,54679,53832,159092
39423,42550,41598,35327,54674,53713,158898
39459,42607,41653,35372,54667,53814,159091
39451,42633,41627,35380,54703,53837,159091
39400,42695,41567,35386,54716,53845,159048
39426,42603,41547,35368,54646,53776,158944
