taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39408,42771,41752,35560,54954,53916,159491
39423,42828,41792,35570,55032,53952,159613
39421,42847,41821,35619,55067,53987,159708
39446,42860,41795,35639,55092,54011,159740
39400,42846,41835,35610,55023,53988,159691
39439,42884,41849,35621,55109,54008,159793
39439,42863,41796,35608,55092,53974,159706
39403,42860,41755,35590,55031,53927,159608
39423,42835,41789,35542,54959,53959,159589
39408,42838,41817,35640,55111,53970,159703
39489,42795,41798,35597,55015,53980,159679
39542,42873,41837,35573,55128,54029,159825
39475,42888,41836,35568,55030,54028,159767
39557,42836,41908,35640,55129,54056,159941
39525,42857,41845,35603,55104,53982,159830
39548,42887,41953,35625,55093,54088,160013
39510,42911,41860,35608,55063,54074,159889
39607,42908,41934,35617,55136,54086,160066
39558,42909,41821,35552,55054,54040,159840
39593,42956,41890,35609,55179,54090,160048
39638,42895,41888,35552,55050,54097,159973
39611,42966,42015,35618,55092,54180,160210
39692,42905,41976,35587,55168,54097,160160
39667,42967,41901,35569,55084,54101,160104
39588,42858,41934,35552,55026,54036,159932
39589,42955,41918,35604,55118,54102,160066
39581,42868,41933,35550,55028,54056,159932
39654,42881,41989,35616,55088,54132,160140
39629,42931,41987,35682,55141,54127,160229
39660,42943,42018,35578,55059,54158,160199
39630,42898,42029,35497,55040,54115,160054
39682,42891,42000,35612,55087,54167,160185
39647,42874,41994,35628,55170,54052,160143
39687,42862,42028,35595,55076,54141,160172
39645,42938,42041,35618,55123,54108,160242
39676,42935,42050,35639,55185,54177,160300
39642,42870,42035,35561,55023,54106,160108
39638,42906,41981,35577,55099,54121,160102
39579,42928,41959,35603,55060,54120,160069
39641,42916,42025,35607,55133,54173,160189
39621,42935,41929,35579,55113,54110,160064
39601,42893,42009,35576,54994,54142,160079
39577,42966,42029,35586,55155,54118,160158
39570,42855,41980,35535,55056,54032,159940
39599,42870,41958,35511,55063,54048,159938
39529,42888,41939,35602,55091,54098,159958
39533,42871,41882,35579,55100,54024,159865
39552,42906,42009,35582,55126,54082,160049
39573,42819,41863,35550,55055,53998,159805
39539,42879,41838,35639,55083,54083,159895
39570,42857,41870,35595,55057,54049,159892
39552,42893,41868,35642,55144,54042,159955
39610,42864,41883,35662,55143,54096,160019
39618,42880,41872,35649,55157,54048,160019
39548,42821,41795,35616,55033,53975,159780
39607,42890,41868,35621,55145,54067,159986
39560,42866,41817,35636,55080,54027,159879
39613,42902,41816,35633,55157,54036,159964
39615,42862,41838,35630,55114,54040,159945
39656,42901,41893,35610,55124,54088,160060
39623,42854,41822,35590,55092,54033,159889
39586,42862,41875,35618,55144,54038,159941
39595,42929,41813,35589,55134,54024,159926
39644,42856,41825,35630,55049,54089,159955
39530,42884,41795,35626,55045,54041,159835
39601,42843,41832,35571,55052,54035,159847
39540,42804,41770,35545,54955,53974,159659
39525,42793,41791,35559,54975,53989,159668
39499,42858,41757,35548,54960,54011,159662
39492,42871,41763,35541,55030,54000,159667
39568,42880,41781,35574,55035,54068,159803
39560,42814,41768,35544,54981,53999,159686
39541,42795,41803,35546,55016,54004,159685
39523,42819,41730,35532,55003,53968,159604
39502,42782,41763,35515,54911,54004,159562
39465,42816,41735,35542,54970,53947,159558
39457,42832,41802,35561,54988,54000,159652
39598,42908,41810,35561,55116,54024,159877
39504,42829,41710,35591,54973,53982,159634
39587,42837,41771,35573,55061,54001,159768
39501,42840,41780,35545,54982,53994,159666
39519,42877,41863,35597,55080,54007,159856
39525,42811,41792,35568,55003,54016,159696
39570,42923,41795,35572,55063,54045,159860
39539,42846,41774,35580,55055,54004,159739
39486,42863,41779,35570,55069,53962,159698
39514,42746,41824,35516,54976,53959,159600
39567,42878,41799,35587,55082,54026,159831
39494,42856,41679,35544,55006,53921,159573
39514,42790,41814,35601,55014,54024,159719
39563,42772,41734,35597,55049,53990,159666
39564,42900,41800,35644,55106,54048,159908
39598,42902,41788,35577,55134,54034,159865
39568,42920,41876,35593,55128,54089,159957
39611,42867,41841,35623,55083,54097,159942
39571,42897,41941,35691,55185,54126,160100
39522,42925,41859,35666,55152,54091,159972
39629,42896,41907,35650,55158,54074,160082
39623,42906,41872,35696,55172,54115,160097
39648,42945,41890,35729,55204,54165,160212
39726,42983,42004,35790,55336,54184,160503
39779,42989,41994,35744,55385,54199,160506
39766,42957,41947,35707,55303,54185,160377
39752,42978,41979,35767,55318,54214,160476
39773,42944,42070,35797,55336,54238,160584
39768,43034,42080,35845,55420,54276,160727
39789,43008,42027,35742,55369,54200,160566
39779,43088,42095,35807,55450,54294,160769
39755,43020,42015,35759,55373,54228,160549
39828,42995,42068,35765,55424,54280,160656
39787,43033,42037,35759,55344,54222,160616
39837,43061,42207,35811,55492,54336,160916
39782,43125,42131,35786,55414,54321,160824
39860,43050,42102,35766,55476,54275,160778
39835,43047,42110,35774,55487,54272,160766
39859,43080,42184,35733,55468,54287,160856
39823,43067,42096,35812,55469,54306,160798
39858,43108,42228,35834,55532,54365,161028
39840,43083,42142,35778,55460,54342,160843
39809,43130,42287,35813,55452,54433,161039
39896,43131,42244,35793,55538,54383,161064
39875,43108,42257,35778,55505,54373,161018
39887,43071,42264,35796,55505,54410,161018
39856,43179,42249,35786,55529,54443,161070
39777,43121,42230,35881,55513,54392,161009
39897,43118,42276,35780,55530,54404,161071
39805,43131,42224,35755,55455,54370,160915
39957,43198,42315,35829,55623,54457,161299
39880,43100,42221,35781,55502,54386,160982
39893,43162,42282,35807,55566,54436,161144
39870,43145,42326,35823,55529,54462,161164
39919,43179,42256,35802,55595,54424,161156
39884,43140,42235,35775,55537,54383,161034
39901,43136,42228,35805,55528,54406,161070
39905,43108,42326,35803,55609,54391,161142
39863,43202,42250,35792,55540,54435,161107
39916,43156,42291,35835,55582,54487,161198
39897,43164,42309,35860,55640,54471,161230
39891,43137,42338,35783,55573,54440,161149
39889,43118,42300,35788,55560,54414,161095
39865,43157,42302,35771,55470,54503,161095
39877,43175,42346,35783,55565,54454,161181
39875,43155,42306,35756,55536,54426,161092
39854,43159,42320,35801,55508,54463,161134
39856,43093,42169,35729,55429,54398,160847
39869,43120,42304,35798,55571,54408,161091
39859,43115,42328,35785,55581,54409,161087
39856,43022,42194,35766,55478,54370,160838
39832,43087,42232,35805,55551,54402,160956
39804,43099,42193,35816,55504,54411,160912
39797,43064,42172,35733,55416,54320,160766
39785,42987,42130,35768,55432,54345,160670
39805,42937,42082,35739,55417,54252,160563
39721,43052,42059,35719,55312,54321,160551
39667,42894,42059,35712,55206,54280,160332
39734,43004,42035,35714,55342,54278,160487
39634,42947,42023,35666,55228,54240,160270
39652,42940,42042,35719,55283,54254,160353
39663,42921,41985,35686,55223,54212,160255
39662,43028,41992,35786,55371,54247,160468
39588,42947,42019,35659,55197,54228,160213
39603,42944,41919,35656,55235,54140,160122
39498,42893,41931,35640,55150,54106,159962
39562,42867,41843,35629,55147,54107,159901
39464,42860,41803,35590,55084,54062,159717
39512,42888,41858,35618,55125,54098,159876
39517,42895,41865,35615,55154,54050,159892
39455,42877,41895,35651,55138,54047,159878
39424,42828,41759,35580,55007,53967,159591
39555,42770,41768,35579,55047,54021,159672
39494,42794,41808,35567,55055,53953,159663
39549,42816,41852,35618,55088,54044,159835
39522,42850,41812,35631,55139,54032,159815
39535,42823,41836,35598,55054,54034,159792
39473,42845,41723,35548,55084,53952,159589
39461,42763,41726,35576,54962,53915,159526
39484,42757,41758,35539,54998,53883,159538
39492,42890,41798,35585,55084,54014,159765
39480,42796,41734,35572,55012,53941,159582
39521,42877,41822,35543,55041,54006,159763
39475,42791,41756,35521,54939,53945,159543
39479,42849,41757,35565,55017,53953,159650
39599,42858,41746,35604,55037,54014,159807
39490,42815,41721,35586,54964,53967,159612
39513,42845,41758,35559,54964,54039,159675
39467,42889,41817,35620,55080,54041,159793
39469,42804,41722,35590,54968,53969,159585
39545,42819,41737,35550,54973,53994,159651
39574,42860,41721,35553,55018,54051,159708
39586,42925,41772,35667,55115,54122,159950
39533,42905,41770,35646,55078,54102,159854
39555,42847,41795,35659,55105,54032,159856
39543,42942,41806,35581,55060,54105,159872
39537,42876,41854,35634,55107,54083,159901
39584,42800,41768,35609,55030,54079,159761
39587,42941,41843,35644,55138,54142,160015
39586,42953,41824,35677,55135,54158,160040
39598,42988,41769,35704,55188,54122,160059
39589,42851,41834,35638,55088,54091,159912
39560,42864,41854,35604,55107,54033,159882
39575,42959,41728,35629,55076,54130,159891
39664,42931,41817,35657,55189,54145,160069
39634,42925,41841,35655,55130,54141,160055
39605,42919,41796,35679,55166,54135,159999
39539,42798,41771,35633,55038,54048,159741
39562,42825,41746,35612,55061,54044,159745
39558,42870,41797,35621,55061,54086,159846
39563,42873,41775,35631,55073,54098,159842
39526,42909,41743,35693,55160,54078,159871
39548,42826,41698,35557,54958,54041,159629
39510,42799,41668,35563,54934,54014,159540
39404,42818,41708,35556,54973,53937,159486
39478,42810,41657,35527,54913,54012,159472
39451,42856,41710,35523,54941,53963,159540
39416,42761,41655,35561,54928,53910,159393
39477,42759,41690,35542,54971,53946,159468
39449,42821,41655,35488,54876,53977,159413
39484,42753,41713,35531,54921,53975,159481
39407,42763,41659,35579,54971,53910,159408
39459,42824,41708,35560,54916,54011,159551
39472,42727,41690,35584,54939,53944,159473
39473,42762,41730,35605,55013,53960,159570
39435,42823,41692,35554,54971,53937,159504
39466,42841,41775,35622,55107,53999,159704
39451,42779,41753,35594,55006,53949,159577
39491,42860,41746,35706,55147,54038,159803
39525,42854,41710,35734,55119,54052,159823
39507,42855,41798,35758,55162,54051,159918
39446,42754,41726,35760,55061,53967,159686
39452,42812,41743,35764,55099,53972,159771
39416,42752,41761,35736,55026,53981,159665
39431,42871,41811,35829,55188,54021,159942
39415,42832,41740,35865,55191,53983,159852
39425,42836,41769,35869,55145,54049,159899
39474,42836,41729,35843,55156,54001,159882
39393,42887,41751,35872,55163,54027,159903
39405,42870,41782,35845,55146,54044,159902
39379,42870,41804,35851,55157,54031,159904
39421,42824,41791,35881,55136,54023,159917
39439,42837,41794,35913,55218,54015,159983
39498,42862,41822,35857,55215,54043,160039
39492,42962,41809,35895,55229,54115,160158
