X1,X2,X3,Y1,Y2,Y3,Z1,Z2,Z3
0.532307422521996,-0.730111661047656,-0.428469100788169,0.730653103680956,0.141204696354455,0.667987481775543,-0.427203630661215,-0.668637020066968,0.608622701963903
0.534955552134504,-0.728338383449171,-0.428188926100519,0.730908270854599,0.145318122675159,0.666825121616236,-0.42345074835402,-0.66968867316474,0.610087325514365
0.537370791049083,-0.726375858184399,-0.428498244540349,0.731479861424091,0.149207795911026,0.665337693183218,-0.419349992975255,-0.670970933000721,0.61150927258693
0.539321578985708,-0.724833155726048,-0.428659691131066,0.731968212764985,0.152413125049541,0.664072868602736,-0.416008698211496,-0.671914141828251,0.612754558549818
0.540250628678765,-0.724079951533494,-0.428762733921049,0.732092002322972,0.153935932481232,0.663584982369157,-0.414486636250681,-0.672396046339849,0.613257193383115
0.540226442150701,-0.724378386547151,-0.428288856152646,0.732181967963082,0.154350796514488,0.663389325664086,-0.414438194258881,-0.671965882928616,0.613761220116914
0.539544097986138,-0.724862611952117,-0.428329732942134,0.73235991443189,0.153829818388485,0.66331390962943,-0.414921616264268,-0.671578709658022,0.613858362401876
0.538805524210294,-0.725234361428387,-0.428630059706537,0.732587655796039,0.152877836694498,0.663282514184472,-0.415507276947812,-0.67138944222802,0.613669226593744
0.537681106086607,-0.725565174357672,-0.429481321965,0.733404833042072,0.151839298591768,0.662617671265784,-0.415560198991136,-0.671260736960134,0.613774179996345
0.536429931739864,-0.725652079878618,-0.430896724635267,0.734586698203147,0.1507640222519,0.661553166735242,-0.415093742733708,-0.671407978454671,0.613928750923699
0.53523469750086,-0.725486868645057,-0.43265762678445,0.736035414040284,0.149964163931295,0.660123184576133,-0.41402760524813,-0.671772237304344,0.614250114594711
0.534404760868666,-0.725209702352008,-0.434145642815192,0.737423126503116,0.149688870753419,0.658635236281006,-0.412661928526753,-0.672126901667416,0.614780904712842
0.533516995802819,-0.724975949676982,-0.435625398225923,0.738776054351579,0.149451530738666,0.657171348642484,-0.411328587317845,-0.672441773905376,0.615329874101768
0.532867901518483,-0.724792484233442,-0.436723773488466,0.739570161086515,0.148788723318171,0.656428132124009,-0.410794641093486,-0.672777413680644,0.615319684789994
0.532145460496981,-0.724844057095012,-0.437518344491404,0.740000413926263,0.14773292424778,0.656181659666102,-0.410993542714544,-0.672947897866012,0.615000353337023
0.531338958609924,-0.724900849978908,-0.438403545564105,0.740437547402155,0.146680542511772,0.655924581675007,-0.41117506136665,-0.673128803039003,0.614680960685631
0.531270131900457,-0.724628423749972,-0.438937005097658,0.741098183866872,0.147114256305982,0.655080817503277,-0.410116325155606,-0.67332034874987,0.615178273186087
0.531840054062667,-0.72387344880225,-0.439492192210232,0.741540884068864,0.148375239662136,0.654294968274685,-0.408417064870026,-0.673881813901844,0.615693756680472
0.532865944870715,-0.723080017539509,-0.439555654078188,0.741309748423289,0.149504394374218,0.654299849423335,-0.407395740633032,-0.674501157598256,0.615692211184026
0.534272437066832,-0.722233698189417,-0.439239625022956,0.740680205320926,0.150628557234116,0.654754817615967,-0.406724050455468,-0.675153694011135,0.615421023563721
0.535785934864514,-0.721576380596423,-0.438475722209024,0.739897911039424,0.152061384170608,0.655307879308356,-0.406179544014776,-0.675532151241218,0.615365331054131
0.537718254825518,-0.720768551287334,-0.437437737172453,0.738745406194719,0.153750442652029,0.656213399901667,-0.405721817425868,-0.676013178926397,0.615138999562276
0.539730639457705,-0.719877070618647,-0.436426213727009,0.737633534440582,0.156161997915875,0.656894359296543,-0.404730191925692,-0.676468947954227,0.615291178384262
0.54178714068508,-0.718849850156555,-0.435570415797703,0.736685061787056,0.158181854290487,0.657475186385787,-0.403726788916644,-0.67709013149336,0.61526712389446
0.543578955192826,-0.717734345468267,-0.435177353278769,0.735947020209226,0.159994500809436,0.657863012454645,-0.402545127984928,-0.677868357292712,0.615184452109185
0.545095957192229,-0.716455966786164,-0.435386317089997,0.735303960416807,0.161081941739811,0.658316560509221,-0.401522252733747,-0.678987483366347,0.614618481654638
0.546397297043175,-0.715066337801738,-0.436039133939515,0.734750349505995,0.161755764067893,0.658769304606423,-0.400532331709307,-0.680330388368084,0.613778798850561
0.547323564162735,-0.713839176073064,-0.436887338813485,0.734369937613506,0.161875530635472,0.659163945700172,-0.399816186991459,-0.681613755448556,0.612821103588091
0.547892156310482,-0.713070436836519,-0.437429693966042,0.734143231933373,0.161890567394703,0.659412738120096,-0.399392534697799,-0.682424050589885,0.612195245329594
0.548427909071722,-0.712592816586333,-0.437536634238525,0.733685032114003,0.161908340523532,0.659918148652384,-0.399412706346141,-0.682932643479109,0.611614661760073
0.549057649595276,-0.712575809373308,-0.436773869773464,0.733231192694833,0.162628615234365,0.660245372241461,-0.399443512547037,-0.682769957739105,0.611776156035053
0.549537628768499,-0.712595196341901,-0.436138144075869,0.733019002861041,0.163699848372854,0.660216253274114,-0.399071811728949,-0.682512297788708,0.612306012097343
0.550683477711428,-0.712223589729299,-0.435299053075881,0.732095505157739,0.164794655733654,0.660968148074823,-0.399022897740576,-0.682665998673568,0.612166530719978
0.553310325471655,-0.711342949721906,-0.433403843554011,0.730349872712097,0.167239330980378,0.662283979575725,-0.398629583332206,-0.682986227167869,0.612065575564736
0.555808097492466,-0.709819107806229,-0.432705665499049,0.728918379945799,0.170626063293129,0.662996788757141,-0.396778544568897,-0.683908888403591,0.612238041069283
0.56033049368257,-0.707918385802669,-0.42997825165,0.726452193491992,0.175931505003261,0.66431567505062,-0.394636496385576,-0.684598334402101,0.612851659257267
